Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,7377,2763,0,0,0,0,0,,,,
2,7377,2970,0,0,0,0,0,,,,
3,7377,3109,0,0,0,0,0,,,,
4,7377,3221,0,0,0,0,0,,,,
5,7377,3299,0,0,0,0,0,,,,
6,7377,3351,0,0,0,0,0,,,,
7,7377,3399,0,0,0,0,0,,,,
8,7377,3429,0,0,0,0,0,,,,
9,7377,3444,0,0,0,0,0,,,,
10,39310,16889,1198,0,0,0,198245,,,,
11,37417,16121,1318,0,0,0,200357,,,,
12,37423,16122,1138,0,0,0,200298,,,,
13,37951,16330,1254,0,0,0,202513,,,,
14,38127,16396,1559,0,0,0,203218,,,,
15,38363,16482,1578,0,0,0,204141,,,,
16,37822,16259,1306,0,0,0,201747,,,,
17,37630,16176,1521,0,0,0,200853,,,,
18,36971,15906,1625,0,0,0,197952,,,,
19,36613,15752,1556,0,0,0,196293,,,,
20,35458,15279,1457,0,0,0,191212,,,,
21,34489,14883,1371,0,0,0,186913,,,,
22,33171,14341,1271,0,0,0,181035,,,,
23,31652,13718,1173,0,0,0,174200,,,,
24,30161,13101,1261,0,0,0,167361,,,,
25,28088,12242,1139,0,0,0,157714,,,,
26,25961,11354,854,0,0,0,147397,,,,
27,23342,10278,815,0,0,0,134646,,,,
28,20686,9167,787,0,0,0,120672,,,,
29,17504,7842,388,0,0,0,103441,,,,
