Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3156284,3064354,3147844,3024014,3304333,1.82%,-1.15%,6.82%,3.70%
2,3220915,3036021,3203494,3026164,3440665,2.04%,-0.93%,7.07%,3.95%
3,3279228,3021493,3243869,3018967,3571827,1.78%,-0.50%,6.80%,4.40%
4,3368201,3033698,3358754,3056056,3700339,2.69%,0.38%,7.71%,5.29%
5,3452429,3039648,3441141,3075794,3848779,2.47%,0.16%,7.42%,5.01%
6,3617249,3113160,3572590,3247908,3966392,4.91%,2.56%,7.42%,5.00%
7,3891638,3274008,3862794,3495133,4308675,7.62%,5.20%,7.48%,5.07%
8,4174754,3433228,4123789,3701517,4687825,7.24%,4.83%,7.01%,4.61%
9,4478158,3599942,4422927,3940360,5111817,7.23%,4.82%,7.00%,4.59%
10,4789115,3763360,4736430,4154217,5430129,6.91%,4.50%,6.68%,4.28%
11,5125991,3933674,5057133,4415953,5948756,7.02%,4.51%,6.78%,4.28%
12,5518653,4135744,5448124,4720741,6455584,7.66%,5.13%,7.44%,4.93%
13,5937338,4345226,5885897,4950172,6983228,7.54%,5.02%,7.33%,4.82%
14,6376446,4557213,6311811,5304184,7502167,7.40%,4.88%,7.18%,4.67%
15,6581944,4593829,6451118,5485279,7781391,3.15%,0.73%,6.69%,4.19%
16,6813286,4643841,6756750,5506908,8231541,3.41%,0.99%,6.95%,4.44%
17,7069231,4705361,6955730,5701953,8708874,3.64%,1.21%,7.13%,4.62%
18,7328168,4763391,7156360,5820002,9050103,3.55%,1.12%,6.98%,4.47%
19,7502418,4762359,7250263,5817956,9411659,2.21%,-0.19%,6.81%,4.31%
20,7698211,4772113,7456906,5897034,9724616,2.44%,0.04%,7.10%,4.59%
21,7886817,4783786,7681895,5856368,10116123,2.26%,0.06%,6.89%,4.59%
22,8110425,4813520,7959253,5912344,10514211,2.58%,0.37%,7.23%,4.92%
23,8329927,4837371,8093783,5913978,10889909,2.51%,0.31%,7.14%,4.84%
24,8554097,4860618,8286646,5887776,11432706,2.39%,0.19%,7.00%,4.69%
25,8814398,4900711,8510621,5961820,11939915,2.84%,0.63%,7.47%,5.15%
26,9067515,4932917,8778278,6027891,12359763,2.54%,0.33%,7.15%,4.85%
27,9339547,4971534,8926574,6047079,12743558,2.52%,0.31%,7.12%,4.82%
28,9640180,5021100,9192397,6007849,13363872,2.79%,0.57%,7.34%,5.03%
29,9812102,5000632,9284048,5728733,13844858,1.25%,-0.93%,6.93%,4.63%
30,9940077,4956803,9392161,5787937,14573346,0.89%,-1.29%,7.34%,5.03%
31,10082814,4919747,9426578,5697101,14793732,1.05%,-1.13%,7.49%,5.17%
32,10168994,4854988,9609575,5813335,14945170,0.55%,-1.61%,6.96%,4.66%
33,10295755,4809694,9869605,5586189,15283861,0.86%,-1.31%,7.32%,5.01%
34,10424105,4764827,10038604,5592274,15842564,1.00%,-1.17%,7.42%,5.11%
35,10560417,4723224,10044209,5628434,16065101,0.93%,-1.25%,7.33%,5.02%
36,10713134,4688383,9958643,5441422,16627029,0.89%,-1.28%,7.18%,4.87%
37,10865527,4652715,9955965,5445999,16974369,0.94%,-1.24%,7.24%,4.93%
38,11036877,4624353,10122998,5452969,17547359,1.01%,-1.16%,7.07%,4.77%
39,11174436,4581202,10235072,5444687,18170543,0.87%,-1.30%,6.99%,4.69%
40,11382795,4566168,10699984,5442917,18625489,1.39%,-0.80%,7.38%,5.07%
41,11609139,4556717,10894303,5064688,19341250,1.40%,-0.79%,7.18%,4.87%
42,11839804,4547217,10958317,5054101,19811885,0.90%,-1.28%,6.92%,4.62%
43,12130229,4558472,11395696,4741413,20602620,1.27%,-0.91%,7.51%,5.20%
44,12446930,4576797,11479773,4484399,20822938,nan%,nan%,7.39%,5.08%
45,12755482,4589289,11779465,4313831,21542796,nan%,nan%,7.12%,4.81%
46,13085859,4606805,12093184,4244204,21955087,nan%,nan%,7.29%,4.98%
47,13493626,4648099,12600380,3855185,23081175,nan%,nan%,7.62%,5.31%
48,13858567,4671046,13046064,3483763,24312596,nan%,nan%,7.24%,4.93%
49,14249487,4699419,13395461,3311353,25204394,nan%,nan%,7.21%,4.90%
