Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3064354,3156284,3056159,2935936,3208090,1.82%,-1.15%,6.82%,3.70%
2,3036021,3220915,3019600,2852450,3243156,2.04%,-0.93%,7.07%,3.95%
3,3021493,3279228,2988913,2781687,3291095,1.78%,-0.50%,6.80%,4.40%
4,3033698,3368201,3025188,2752553,3332850,2.69%,0.38%,7.71%,5.29%
5,3039648,3452429,3029710,2708045,3388610,2.47%,0.16%,7.42%,5.01%
6,3113160,3617249,3074724,2795289,3413647,4.91%,2.56%,7.42%,5.00%
7,3274008,3891638,3249743,2940432,3624859,7.62%,5.20%,7.48%,5.07%
8,3433228,4174754,3391315,3044048,3855166,7.24%,4.83%,7.01%,4.61%
9,3599942,4478158,3555542,3167612,4109334,7.23%,4.82%,7.00%,4.59%
10,3763360,4789115,3721959,3264447,4267079,6.91%,4.50%,6.68%,4.28%
11,3933674,5125991,3880833,3388793,4565062,7.02%,4.51%,6.78%,4.28%
12,4135744,5518653,4082889,3537779,4837891,7.66%,5.13%,7.44%,4.93%
13,4345226,5937338,4307579,3622771,5110658,7.54%,5.02%,7.33%,4.82%
14,4557213,6376446,4511019,3790873,5361760,7.40%,4.88%,7.18%,4.67%
15,4593829,6581944,4502520,3828418,5430976,3.15%,0.73%,6.69%,4.19%
16,4643841,6813286,4605307,3753432,5610504,3.41%,0.99%,6.95%,4.44%
17,4705361,7069231,4629813,3795285,5796726,3.64%,1.21%,7.13%,4.62%
18,4763391,7328168,4651714,3783066,5882668,3.55%,1.12%,6.98%,4.47%
19,4762359,7502418,4602297,3693102,5974300,2.21%,-0.19%,6.81%,4.31%
20,4772113,7698211,4622528,3655565,6028279,2.44%,0.04%,7.10%,4.59%
21,4783786,7886817,4659490,3552208,6135982,2.26%,0.06%,6.89%,4.59%
22,4813520,8110425,4723799,3508963,6240161,2.58%,0.37%,7.23%,4.92%
23,4837371,8329927,4700237,3434377,6324009,2.51%,0.31%,7.14%,4.84%
24,4860618,8554097,4708646,3345558,6496304,2.39%,0.19%,7.00%,4.69%
25,4900711,8814398,4731814,3314708,6638465,2.84%,0.63%,7.47%,5.15%
26,4932917,9067515,4775566,3279298,6723969,2.54%,0.33%,7.15%,4.85%
27,4971534,9339547,4751705,3218921,6783524,2.52%,0.31%,7.12%,4.82%
28,5021100,9640180,4787872,3129196,6960590,2.79%,0.57%,7.34%,5.03%
29,5000632,9812102,4731515,2919587,7055883,1.25%,-0.93%,6.93%,4.63%
30,4956803,9940077,4683575,2886262,7267269,0.89%,-1.29%,7.34%,5.03%
31,4919747,10082814,4599547,2779809,7218364,1.05%,-1.13%,7.49%,5.17%
32,4854988,10168994,4587904,2775463,7135280,0.55%,-1.61%,6.96%,4.66%
33,4809694,10295755,4610617,2609606,7139903,0.86%,-1.31%,7.32%,5.01%
34,4764827,10424105,4588616,2556211,7241588,1.00%,-1.17%,7.42%,5.11%
35,4723224,10560417,4492346,2517358,7185234,0.93%,-1.25%,7.33%,5.02%
36,4688383,10713134,4358196,2381326,7276478,0.89%,-1.28%,7.18%,4.87%
37,4652715,10865527,4263233,2332025,7268575,0.94%,-1.24%,7.24%,4.93%
38,4624353,11036877,4241446,2284745,7352187,1.01%,-1.16%,7.07%,4.77%
39,4581202,11174436,4196090,2232167,7449408,0.87%,-1.30%,6.99%,4.69%
40,4566168,11382795,4292261,2183407,7471549,1.39%,-0.80%,7.38%,5.07%
41,4556717,11609139,4276136,1987947,7591658,1.40%,-0.79%,7.18%,4.87%
42,4547217,11839804,4208672,1941087,7608989,0.90%,-1.28%,6.92%,4.62%
43,4558472,12130229,4282438,1781796,7742349,1.27%,-0.91%,7.51%,5.20%
44,4576797,12446930,4221169,1648935,7656696,nan%,nan%,7.39%,5.08%
45,4589289,12755482,4238128,1552071,7750872,nan%,nan%,7.12%,4.81%
46,4606805,13085859,4257339,1494149,7729168,nan%,nan%,7.29%,4.98%
47,4648099,13493626,4340406,1327981,7950687,nan%,nan%,7.62%,5.31%
48,4671046,13858567,4397191,1174206,8194588,nan%,nan%,7.24%,4.93%
49,4699419,14249487,4417764,1092069,8312300,nan%,nan%,7.21%,4.90%
