Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6102480,5924737,6089820,5829252,6347087,3.08%,0.08%,6.39%,3.29%
2,6343563,5979417,6300036,5992887,6823115,3.95%,0.92%,7.25%,4.13%
3,6620154,6099834,6584641,6150771,7209740,4.36%,2.01%,7.60%,5.18%
4,6859220,6178015,6795873,6365946,7437544,3.61%,1.28%,6.78%,4.38%
5,7106223,6256587,7075165,6438082,7935739,3.54%,1.22%,6.66%,4.27%
6,7390587,6360657,7347946,6643450,8343321,3.96%,1.62%,7.05%,4.64%
7,7726714,6500432,7583633,6919187,8965231,4.52%,2.17%,7.58%,5.16%
8,8090888,6653772,7962513,7021561,9295356,4.72%,2.37%,7.69%,5.27%
9,8412735,6762906,8323519,7136070,9761820,3.91%,1.58%,7.41%,4.99%
10,8535091,6707005,8422527,7228805,10053000,1.43%,-0.85%,7.59%,5.17%
11,8674638,6656898,8617162,7362733,10259294,1.61%,-0.77%,7.84%,5.31%
12,8748757,6556422,8640589,7374924,10291365,0.84%,-1.53%,7.05%,4.54%
13,8897075,6511302,8846017,7516118,10449176,1.71%,-0.67%,8.01%,5.47%
14,8979161,6417360,9013335,7451203,10459239,0.90%,-1.46%,7.30%,4.78%
15,9076427,6334839,9181675,7361920,10686347,1.01%,-1.36%,7.52%,5.00%
16,9091493,6196636,8984686,7371482,10963843,0.06%,-2.29%,6.53%,4.04%
17,9154052,6093042,8988968,7314197,10951019,0.60%,-1.76%,7.10%,4.59%
18,9191708,5974713,9039748,7203978,11182360,0.30%,-2.05%,6.92%,4.42%
19,9245417,5868774,9157598,7075365,11011266,0.39%,-1.96%,7.15%,4.63%
20,9241610,5728864,9141257,7114650,11357459,-0.17%,-2.51%,6.45%,3.95%
21,9296277,5638701,9177707,7099348,11337921,0.46%,-1.70%,7.15%,4.84%
22,9310328,5525659,9085346,7009019,11594133,-0.02%,-2.17%,6.68%,4.39%
23,9425263,5473457,9217868,7119170,11755934,1.06%,-1.12%,7.58%,5.27%
24,9520605,5409808,9149377,7056804,12406372,0.92%,-1.25%,7.50%,5.18%
25,9623616,5350627,9339083,7109262,12483067,0.98%,-1.19%,7.27%,4.96%
26,9809123,5336367,9431351,7023183,12823693,1.70%,-0.49%,7.59%,5.27%
27,9932959,5287413,9491370,7291492,13087116,1.33%,-0.86%,7.24%,4.93%
28,10138581,5280693,9598388,7338835,13452026,2.04%,-0.16%,7.32%,5.01%
29,10315216,5257038,9794186,7592172,13701445,1.62%,-0.56%,6.49%,4.20%
