Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6215646,6034608,6197553,5954083,6478043,4.99%,1.94%,6.49%,3.39%
2,6664779,6282193,6645525,6243239,7163842,7.21%,4.09%,7.16%,4.04%
3,7169835,6606312,7168296,6640396,7731816,7.58%,5.16%,7.51%,5.10%
4,7670273,6908521,7646930,7101766,8268706,6.99%,4.59%,6.93%,4.53%
5,8190015,7210798,8182488,7402652,8922745,6.74%,4.34%,6.69%,4.29%
6,8769869,7547725,8702828,7871993,9881084,7.08%,4.67%,7.02%,4.61%
7,9431470,7934632,9297414,8455903,10875027,7.55%,5.13%,7.49%,5.07%
8,10177064,8369399,10071142,8968680,11640459,7.91%,5.49%,7.85%,5.43%
9,10942361,8796444,10802620,9548991,12498119,7.49%,5.07%,7.43%,5.02%
10,11781303,9257928,11610489,10049481,13536131,7.66%,5.24%,7.61%,5.19%
11,12702110,9747570,12629445,11030584,14403755,7.84%,5.32%,7.79%,5.27%
12,13607343,10197504,13597685,11632508,15465710,7.16%,4.65%,7.12%,4.61%
13,14676547,10740995,14767059,12555922,16830092,7.89%,5.36%,7.84%,5.31%
14,15730936,11242819,15756698,13277947,18274968,7.23%,4.71%,7.19%,4.67%
15,16914061,11805071,16857736,14161732,19388851,7.49%,4.97%,7.45%,4.93%
16,18024938,12285547,17791203,15207737,20699515,6.54%,4.04%,6.51%,4.01%
17,19300265,12846477,19278077,16205663,22232199,7.07%,4.56%,7.04%,4.53%
18,20662121,13430609,20623910,17113090,24223738,7.04%,4.53%,7.01%,4.50%
19,22069001,14008884,21961519,17987131,25528978,6.69%,4.19%,7.02%,4.51%
20,23510344,14574038,23285992,19212484,28299365,6.49%,3.99%,6.35%,3.86%
21,25217262,15295650,24897618,20717566,30987060,7.23%,4.92%,7.18%,4.88%
22,26940752,15989277,26533710,21743892,33254181,6.77%,4.47%,6.73%,4.44%
23,28963756,16819888,28023891,23285970,35257605,7.45%,5.14%,7.42%,5.10%
24,31161887,17706840,30215381,24969416,38696689,7.57%,5.25%,7.53%,5.22%
25,33497295,18624138,33004443,26257649,42223937,7.43%,5.11%,7.39%,5.08%
26,36075990,19626090,35089806,28129362,45322278,7.61%,5.29%,7.58%,5.26%
27,38657367,20577704,38028118,31074190,48601026,7.19%,4.89%,7.16%,4.86%
28,41481958,21605932,40601292,32947312,53270536,7.29%,4.98%,7.26%,4.95%
29,44253955,22553552,42730378,35096355,56709844,6.66%,4.36%,6.63%,4.34%
30,47071360,23473006,46050861,36026411,59663839,6.33%,4.04%,6.97%,4.67%
31,50581132,24680253,49825666,38950006,64942059,7.47%,5.16%,7.42%,5.11%
32,53948619,25756716,52285932,41846672,69173859,6.57%,4.27%,6.53%,4.24%
33,57757745,26981712,55784355,45055837,74115561,7.06%,4.76%,7.02%,4.72%
34,61877365,28283958,59825450,48291997,81786181,7.29%,4.98%,7.25%,4.94%
35,66354940,29677734,63393154,50611847,87328468,7.07%,4.77%,7.04%,4.73%
36,70855114,31008287,66960449,54547869,92744876,6.92%,4.62%,6.89%,4.59%
37,75532823,32343826,72991527,57543419,98589660,6.67%,4.37%,6.64%,4.35%
38,80955713,33919723,77944207,61476770,106505921,7.28%,4.97%,7.25%,4.94%
39,86761328,35569690,82280306,64865405,111624890,7.20%,4.89%,7.17%,4.87%
40,92973802,37296114,89057407,69392002,119636731,7.18%,4.87%,7.16%,4.85%
41,99191991,38933972,94420098,71928490,131169116,6.60%,4.30%,6.58%,4.29%
42,106342453,40842083,102347240,77919288,142288402,7.22%,4.91%,7.20%,4.90%
43,114249376,42934276,111860311,81821598,155026248,7.20%,4.89%,7.18%,4.87%
44,122523418,45052460,119895904,86662587,164375450,7.31%,5.00%,7.29%,4.98%
45,131258580,47225462,129845293,94132620,180709739,7.30%,4.99%,7.29%,4.98%
46,140585458,49492344,138845934,102080145,190284178,7.17%,4.86%,7.16%,4.85%
47,150356757,51792834,149275055,108700949,205716083,6.95%,4.65%,6.95%,4.64%
48,160909918,54234875,157935283,117059929,220334823,6.93%,4.63%,6.93%,4.63%
49,172774613,56980317,169864663,126799682,230670598,7.54%,5.23%,7.54%,5.22%
