Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6198287,6017755,6180325,5936716,6460489,4.70%,1.65%,6.49%,3.39%
2,6535090,6159949,6513778,6116970,7027615,5.42%,2.35%,7.16%,4.04%
3,6916934,6373288,6910775,6398289,7469683,5.84%,3.46%,7.51%,5.10%
4,7285969,6562384,7262090,6728704,7864995,5.34%,2.97%,6.93%,4.53%
5,7664349,6747982,7647356,6907080,8371225,5.15%,2.79%,6.69%,4.29%
6,8089796,6962426,8029315,7230009,9154040,5.54%,3.17%,7.02%,4.61%
7,8583941,7221611,8463185,7640491,9950249,6.10%,3.72%,7.49%,5.07%
8,9149682,7524502,9064220,8018837,10562944,6.60%,4.20%,7.85%,5.43%
9,9773257,7856614,9627038,8536693,11241018,6.82%,4.42%,7.43%,5.02%
10,10512422,8260822,10350142,8962084,12081909,7.58%,5.16%,7.61%,5.19%
11,11341151,8703174,11295727,9868745,12872376,7.91%,5.38%,7.79%,5.27%
12,12160387,9113138,12148535,10458533,13856777,7.26%,4.74%,7.12%,4.61%
13,13127635,9607427,13182979,11247185,15009776,7.98%,5.45%,7.84%,5.31%
14,14083162,10065163,14098566,11908234,16386192,7.32%,4.81%,7.19%,4.67%
15,14933008,10422406,14900933,12600833,17131281,6.00%,3.51%,7.45%,4.93%
16,15698714,10700026,15485988,13263617,18024134,5.09%,2.62%,6.51%,4.01%
17,16585442,11039460,16507895,13828333,19058485,5.63%,3.15%,7.04%,4.53%
18,17524612,11391194,17473138,14525489,20517287,5.62%,3.14%,7.01%,4.50%
19,18485796,11734349,18385392,15000584,21410620,5.36%,2.89%,7.02%,4.51%
20,19368236,12006349,19154309,15722187,23401313,4.71%,2.26%,6.35%,3.86%
21,20452530,12405580,20071358,16671651,25241630,5.53%,3.26%,7.18%,4.88%
22,21514407,12768753,21078886,17189709,26847196,5.09%,2.82%,6.73%,4.44%
23,22784045,13231194,21957143,18085869,28061580,5.80%,3.52%,7.42%,5.10%
24,24151882,13723608,23283112,18977033,30234000,5.93%,3.65%,7.53%,5.22%
25,25595151,14230630,24788883,19705154,32783137,5.85%,3.57%,7.39%,5.08%
26,27201255,14798049,26272692,20556665,34454963,6.11%,3.83%,7.58%,5.26%
27,28763326,15311006,28024485,22389934,36946901,5.72%,3.44%,7.16%,4.86%
28,30487296,15879347,29638266,23300039,40579012,5.91%,3.63%,7.26%,4.95%
29,32151172,16385498,30773950,24641081,42640366,5.35%,3.08%,6.63%,4.34%
30,33811283,16860622,32751028,24570807,43880641,5.04%,2.78%,6.97%,4.67%
31,35289076,17218739,34760182,26183676,47302906,4.33%,2.08%,7.42%,5.11%
32,36573723,17461411,35109632,27015254,48374492,3.48%,1.25%,6.53%,4.24%
33,38029159,17765441,36408430,28163124,51558143,3.91%,1.67%,7.02%,4.72%
34,39553767,18079908,37841609,29837329,54455924,4.12%,1.88%,7.25%,4.94%
35,41194702,18424633,38434848,29913578,57146507,3.86%,1.63%,7.04%,4.73%
36,42690101,18682447,40180924,30657522,58631420,3.70%,1.47%,6.89%,4.59%
37,44155081,18907598,41961459,31326202,60447315,3.43%,1.21%,6.64%,4.35%
38,45918055,19239256,42885346,31933773,64272218,4.03%,1.79%,7.25%,4.94%
39,47733573,19569414,44560703,33379253,66224705,3.90%,1.66%,7.17%,4.87%
40,49581413,19889410,46658041,33034431,69347189,3.80%,1.56%,7.16%,4.85%
41,51299839,20135763,48593097,34130040,72261309,3.28%,1.06%,6.58%,4.29%
42,53310349,20474473,49610894,34686315,75581373,3.86%,1.62%,7.20%,4.90%
43,55549011,20875007,52395582,35994983,78421664,3.84%,1.61%,7.18%,4.87%
44,57760627,21238865,54358485,36872548,82712095,3.96%,1.73%,7.29%,4.98%
45,59923501,21559848,57614401,38328746,85348550,3.89%,1.65%,7.29%,4.98%
46,62217179,21903218,60805523,41504060,87516991,3.83%,1.60%,7.16%,4.85%
47,64504777,22219721,62633596,43009600,91435790,3.59%,1.36%,6.95%,4.64%
48,66976879,22574635,63851593,44992737,95974143,3.62%,1.39%,6.93%,4.63%
49,69727227,22995736,67024901,46154879,98160082,4.20%,1.96%,7.54%,5.22%
