Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5968023,6147063,5950583,5714070,6222587,3.84%,0.81%,6.49%,3.39%
2,6213736,6592153,6194987,5815895,6684090,7.22%,4.10%,7.16%,4.04%
3,6536141,7093679,6533854,6049426,7054722,7.61%,5.19%,7.51%,5.10%
4,6836857,7590706,6816607,6326900,7375724,7.02%,4.61%,6.93%,4.53%
5,7137865,8107177,7134578,6448696,7775659,6.77%,4.37%,6.69%,4.29%
6,7473351,8683452,7411922,6704856,8428429,7.10%,4.70%,7.02%,4.61%
7,7858556,9341044,7745775,7038439,9071296,7.58%,5.16%,7.49%,5.07%
8,8292139,10083118,8203885,7307153,9491268,7.95%,5.53%,7.85%,5.43%
9,8719009,10846036,8604261,7606055,9972900,7.53%,5.11%,7.43%,5.02%
10,9180287,11682500,9042363,7821547,10577997,7.71%,5.28%,7.61%,5.19%
11,9669171,12599947,9620510,8378954,10982267,7.88%,5.35%,7.79%,5.27%
12,10119934,13503835,10105361,8666558,11531552,7.21%,4.70%,7.12%,4.61%
13,10665369,14573211,10715473,9106794,12245391,7.95%,5.42%,7.84%,5.31%
14,11168658,15627170,11166743,9384790,13001774,7.27%,4.76%,7.19%,4.67%
15,11731679,16808907,11698438,9831308,13477092,7.53%,5.01%,7.45%,4.93%
16,12215349,17921946,12065046,10330408,14026307,6.59%,4.10%,6.51%,4.01%
17,12781953,19203326,12760475,10697206,14715724,7.15%,4.64%,7.04%,4.53%
18,13371552,20571265,13359239,11082726,15640234,7.10%,4.59%,7.01%,4.50%
19,13948938,21974564,13902753,11358980,16118026,6.71%,4.20%,7.02%,4.51%
20,14508623,23404819,14356741,11858241,17489573,6.47%,3.97%,6.35%,3.86%
21,15238386,25122853,15006636,12468173,18724538,7.31%,5.00%,7.18%,4.88%
22,15940116,26857918,15691913,12835548,19671922,6.84%,4.54%,6.73%,4.44%
23,16782354,28899123,16236941,13461969,20450389,7.55%,5.23%,7.42%,5.10%
24,17678307,31111671,17098212,14095499,21960887,7.64%,5.32%,7.53%,5.22%
25,18608055,33468368,18210369,14615517,23430031,7.51%,5.20%,7.39%,5.08%
26,19628178,36079827,19073924,15324957,24718291,7.72%,5.40%,7.58%,5.26%
27,20591627,38683524,20313207,16491633,25873391,7.26%,4.95%,7.16%,4.86%
28,21640088,41547537,21215246,17187634,27793265,7.39%,5.08%,7.26%,4.95%
29,22611153,44366979,21881597,17930144,28906679,6.76%,4.46%,6.63%,4.34%
30,23405748,46936486,22951873,17938550,29703119,5.78%,3.50%,6.97%,4.67%
31,24623548,50464917,24317392,18856274,31453725,7.53%,5.22%,7.42%,5.11%
32,25715929,53863189,24912389,19919633,33115991,6.65%,4.35%,6.53%,4.24%
33,26953952,57698323,26006778,21067052,34388272,7.12%,4.82%,7.02%,4.72%
34,28270075,61846993,27314787,22337816,37130899,7.36%,5.05%,7.25%,4.94%
35,29676746,66352732,28278217,22741987,38997505,7.12%,4.81%,7.04%,4.73%
36,31021668,70885689,29340706,23958268,40676296,6.97%,4.67%,6.89%,4.59%
37,32369322,75592362,31232364,24647701,42288905,6.71%,4.41%,6.64%,4.35%
38,33966871,81068241,32697162,25586762,44711580,7.34%,5.03%,7.25%,4.94%
39,35629151,86906365,33902618,26710579,45792924,7.23%,4.92%,7.17%,4.87%
40,37361235,93136137,35765433,27823820,47887960,7.18%,4.87%,7.16%,4.85%
41,39012179,99391239,36977607,28576761,51397553,6.63%,4.33%,6.58%,4.29%
42,40932013,106576609,39329058,30006166,55088303,7.24%,4.93%,7.20%,4.90%
43,43034754,114516751,42019771,30860481,58728825,7.22%,4.91%,7.18%,4.87%
44,45163375,122825058,44209950,32052063,61065650,7.32%,5.01%,7.29%,4.98%
45,47331473,131553227,47195291,34195788,64379297,7.28%,4.97%,7.29%,4.98%
46,49601580,140895748,49265787,36526571,66786460,7.17%,4.86%,7.16%,4.85%
47,51892610,150646411,51446259,38193002,71282325,6.92%,4.62%,6.95%,4.64%
48,54314572,161146371,53207487,39568299,74109882,6.89%,4.59%,6.93%,4.63%
49,57037029,172946574,56221106,42268827,76540763,7.49%,5.17%,7.54%,5.22%
