Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6105369,5927543,6091184,5838248,6347087,3.13%,0.13%,6.39%,3.29%
2,6347503,5983130,6300269,5997682,6823115,3.96%,0.93%,7.25%,4.13%
3,6624502,6103840,6585915,6152071,7209896,4.36%,2.02%,7.60%,5.18%
4,6863908,6182238,6804018,6371376,7437544,3.61%,1.28%,6.78%,4.38%
5,7111231,6260996,7078655,6442796,7935739,3.55%,1.22%,6.66%,4.27%
6,7395965,6365285,7353094,6644280,8343653,3.96%,1.62%,7.05%,4.64%
7,7732499,6505298,7585377,6926179,8969597,4.53%,2.18%,7.58%,5.16%
8,8097152,6658924,7977126,7027678,9295356,4.72%,2.37%,7.69%,5.27%
9,8419488,6768334,8327030,7156132,9761820,3.92%,1.58%,7.41%,4.99%
10,8542063,6712484,8424509,7229335,10053000,1.43%,-0.85%,7.59%,5.17%
11,8681759,6662362,8633059,7371712,10265547,1.61%,-0.77%,7.84%,5.31%
12,8755959,6561819,8643785,7389285,10292155,0.84%,-1.52%,7.05%,4.54%
13,8904422,6516679,8869902,7521765,10449176,1.71%,-0.67%,8.01%,5.47%
14,8986587,6422667,9016144,7452888,10459304,0.90%,-1.46%,7.30%,4.78%
15,9083844,6340016,9205304,7378055,10686053,1.01%,-1.36%,7.52%,5.00%
16,9098868,6201662,9014030,7377037,10964647,0.06%,-2.29%,6.53%,4.04%
17,9161434,6097955,8999739,7315217,10985523,0.59%,-1.76%,7.10%,4.59%
18,9199011,5979460,9040358,7205378,11182360,0.30%,-2.05%,6.92%,4.42%
19,9252539,5873295,9171192,7081456,11011266,0.39%,-1.96%,7.15%,4.63%
20,9248472,5733118,9148600,7120172,11357459,-0.17%,-2.51%,6.45%,3.95%
21,9302949,5642748,9185668,7104698,11355313,0.46%,-1.70%,7.15%,4.84%
22,9316670,5529423,9085346,7012909,11594215,-0.02%,-2.17%,6.68%,4.39%
23,9431248,5476932,9217868,7123637,11758082,1.05%,-1.12%,7.58%,5.27%
24,9526091,5412926,9154263,7072720,12412272,0.91%,-1.26%,7.50%,5.18%
25,9628595,5353396,9344417,7113813,12495867,0.97%,-1.20%,7.27%,4.96%
26,9813490,5338743,9432244,7025172,12828361,1.69%,-0.50%,7.59%,5.27%
27,9936660,5289383,9491661,7293590,13090400,1.32%,-0.86%,7.24%,4.93%
28,10141483,5282204,9598388,7341359,13453589,2.03%,-0.17%,7.32%,5.01%
29,10317296,5258098,9794208,7593225,13701518,1.62%,-0.57%,6.49%,4.20%
