Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5927543,6105369,5913771,5668202,6162221,3.13%,0.13%,6.39%,3.29%
2,5983130,6347503,5938608,5653390,6431440,3.96%,0.93%,7.25%,4.13%
3,6103840,6624502,6068286,5668541,6643224,4.36%,2.02%,7.60%,5.18%
4,6182238,6863908,6128296,5738620,6698905,3.61%,1.28%,6.78%,4.38%
5,6260996,7111231,6232315,5672481,6986924,3.55%,1.22%,6.66%,4.27%
6,6365285,7395965,6328388,5718352,7180906,3.96%,1.62%,7.05%,4.64%
7,6505298,7732499,6381526,5826947,7546061,4.53%,2.18%,7.58%,5.16%
8,6658924,8097152,6560217,5779412,7644301,4.72%,2.37%,7.69%,5.27%
9,6768334,8419488,6694009,5752736,7847420,3.92%,1.58%,7.41%,4.99%
10,6712484,8542063,6620108,5680922,7899801,1.43%,-0.85%,7.59%,5.17%
11,6662362,8681759,6624990,5657035,7877757,1.61%,-0.77%,7.84%,5.31%
12,6561819,8755959,6477755,5537617,7713063,0.84%,-1.52%,7.05%,4.54%
13,6516679,8904422,6491415,5504785,7647203,1.71%,-0.67%,8.01%,5.47%
14,6422667,8986587,6443792,5326541,7475210,0.90%,-1.46%,7.30%,4.78%
15,6340016,9083844,6424788,5149470,7458268,1.01%,-1.36%,7.52%,5.00%
16,6201662,9098868,6143838,5028086,7473351,0.06%,-2.29%,6.53%,4.04%
17,6097955,9161434,5990329,4869092,7312089,0.59%,-1.76%,7.10%,4.59%
18,5979460,9199011,5876334,4683576,7268659,0.30%,-2.05%,6.92%,4.42%
19,5873295,9252539,5821657,4495142,6989693,0.39%,-1.96%,7.15%,4.63%
20,5733118,9248472,5671207,4413787,7040477,-0.17%,-2.51%,6.45%,3.95%
21,5642748,9302949,5571610,4309388,6887619,0.46%,-1.70%,7.15%,4.84%
22,5529423,9316670,5392133,4162146,6881141,-0.02%,-2.17%,6.68%,4.39%
23,5476932,9431248,5353018,4136852,6828176,1.05%,-1.12%,7.58%,5.27%
24,5412926,9526091,5201645,4018868,7052914,0.91%,-1.26%,7.50%,5.18%
25,5353396,9628595,5195396,3955204,6947568,0.97%,-1.20%,7.27%,4.96%
26,5338743,9813490,5131337,3821840,6978896,1.69%,-0.50%,7.59%,5.27%
27,5289383,9936660,5052506,3882451,6968151,1.32%,-0.86%,7.24%,4.93%
28,5282204,10141483,4999332,3823756,7007319,2.03%,-0.17%,7.32%,5.01%
29,5258098,10317296,4991512,3869805,6982831,1.62%,-0.57%,6.49%,4.20%
