Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,4218481,4095612,4204789,4038284,4411013,2.89%,-0.11%,6.73%,3.62%
2,4359666,4109403,4354620,4109056,4627059,3.35%,0.34%,7.15%,4.03%
3,4499157,4145540,4476696,4148422,4877686,3.18%,0.86%,6.95%,4.54%
4,4674582,4210339,4649113,4236464,5115982,3.88%,1.55%,7.63%,5.21%
5,4852829,4272614,4847166,4388311,5393483,3.80%,1.47%,7.48%,5.06%
6,4979005,4285146,4914027,4490459,5545666,2.62%,0.31%,7.45%,5.03%
7,5116312,4304318,5096369,4508878,5730358,2.75%,0.44%,7.56%,5.14%
8,5237122,4306896,5208671,4539978,6000843,2.29%,-0.01%,7.08%,4.67%
9,5357490,4306828,5305667,4541343,6292299,2.21%,-0.08%,6.98%,4.58%
10,5460611,4291032,5422061,4522111,6399491,1.81%,-0.48%,6.61%,4.21%
11,5575421,4278566,5480037,4588877,6553400,2.02%,-0.37%,6.84%,4.34%
12,5726515,4291518,5620401,4627015,6953492,2.62%,0.21%,7.46%,4.94%
13,5886435,4307973,5820589,4664209,7128060,2.62%,0.22%,7.42%,4.90%
14,6038636,4315782,5968397,4714685,7495697,2.46%,0.06%,7.28%,4.77%
15,6164436,4302432,6036069,4705229,7715217,1.92%,-0.47%,6.72%,4.22%
16,6234986,4249680,6117641,4555664,7954864,0.86%,-1.50%,6.87%,4.36%
17,6291519,4187707,6188828,4501541,8143761,0.76%,-1.60%,7.17%,4.66%
18,6352554,4129231,6189810,4434728,8287071,0.76%,-1.60%,6.92%,4.41%
19,6406470,4066677,6250612,4486715,8417896,0.68%,-1.68%,6.87%,4.36%
20,6461115,4005238,6297755,4412958,8586900,0.66%,-1.70%,7.03%,4.53%
21,6506835,3946751,6389359,4430809,8619198,0.49%,-1.68%,6.83%,4.53%
22,6578044,3904055,6434450,4423139,8799253,0.83%,-1.34%,7.21%,4.90%
23,6632687,3851747,6571273,4293231,8962565,0.60%,-1.56%,7.12%,4.82%
24,6682481,3797126,6511436,4285830,9465430,0.37%,-1.79%,6.97%,4.67%
25,6742996,3749034,6550701,4212466,9524951,0.56%,-1.61%,7.37%,5.06%
26,6799137,3698872,6602359,4014397,9690239,0.24%,-1.92%,7.22%,4.91%
27,6860776,3652059,6737004,3844965,9851834,0.12%,-2.04%,7.19%,4.88%
28,6933007,3611066,6768289,3849487,10258637,0.12%,-2.03%,7.34%,5.03%
29,6966026,3550160,6808280,3610098,10405118,-0.70%,-2.84%,6.84%,4.54%
30,7019141,3500224,6744335,3438353,10889164,-0.73%,-2.87%,7.27%,4.97%
31,7090422,3459658,6853717,3119864,11222924,-0.99%,-3.12%,7.42%,5.11%
32,7117462,3398093,6894779,2783312,12024456,-2.45%,-4.55%,6.98%,4.67%
33,7184319,3356177,7018298,2609519,12380119,nan%,nan%,7.39%,5.07%
34,7238386,3308644,7022050,2337495,12801238,nan%,nan%,7.50%,5.18%
35,7274492,3253570,6947382,1914493,13185175,nan%,nan%,7.22%,4.91%
36,7333919,3209539,6887330,1531852,14060987,nan%,nan%,7.30%,4.99%
