Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6020422,6201034,6002982,5766469,6274986,4.75%,1.70%,6.49%,3.39%
2,6165165,6540624,6145439,5771227,6629247,5.46%,2.39%,7.16%,4.04%
3,6380753,6925036,6375939,5902936,6889642,5.88%,3.50%,7.51%,5.10%
4,6571790,7296412,6549668,6067440,7096267,5.37%,3.00%,6.93%,4.53%
5,6759078,7676951,6747469,6088517,7388734,5.17%,2.81%,6.69%,4.29%
6,6975132,8104560,6927903,6232873,7892680,5.56%,3.18%,7.02%,4.61%
7,7233816,8598448,7131854,6439226,8385727,6.09%,3.70%,7.49%,5.07%
8,7533655,9160812,7466338,6594304,8704881,6.54%,4.14%,7.85%,5.43%
9,7851987,9767501,7733754,6853712,9044913,6.62%,4.22%,7.43%,5.02%
10,8247364,10495295,8122071,7027136,9468665,7.48%,5.06%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.87%,5.34%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10386799,14881991,10362216,8746219,11903991,5.97%,3.49%,7.45%,4.93%
16,10659244,15638881,10508041,8977153,12250430,5.05%,2.58%,6.51%,4.01%
17,10991589,16513522,10949982,9178830,12652719,5.57%,3.10%,7.04%,4.53%
18,11336305,17440169,11292085,9390983,13306710,5.57%,3.09%,7.01%,4.50%
19,11674186,18391016,11594539,9480130,13547632,5.33%,2.86%,7.02%,4.51%
20,11938707,19259117,11817729,9677653,14421016,4.66%,2.20%,6.35%,3.86%
21,12329697,20327426,12128136,10075253,15229437,5.48%,3.21%,7.18%,4.88%
22,12684723,21372823,12439033,10142898,15865682,5.04%,2.78%,6.73%,4.44%
23,13136380,22620774,12658970,10443543,16195672,5.73%,3.46%,7.42%,5.10%
24,13619190,23968119,13127564,10736196,17091199,5.88%,3.60%,7.53%,5.22%
25,14114772,25386769,13758865,10832245,18122567,5.79%,3.51%,7.39%,5.08%
26,14667475,26961237,14178478,11066724,18561945,6.03%,3.75%,7.58%,5.26%
27,15169475,28497444,14783667,11840653,19509546,5.67%,3.39%,7.16%,4.86%
28,15722728,30186598,15313763,12016755,20888043,5.84%,3.56%,7.26%,4.95%
29,16212621,31811957,15517164,12443090,21458351,5.28%,3.01%,6.63%,4.34%
30,16672040,33433111,16193042,12087709,21713683,4.97%,2.71%,6.97%,4.67%
31,17043738,34930420,16804095,12710633,22990150,4.42%,2.17%,7.42%,5.11%
32,17301403,36238580,16581215,12780525,22914928,3.56%,1.33%,6.53%,4.24%
33,17622730,37723670,16913368,13081406,23990522,4.01%,1.77%,7.02%,4.72%
34,17956253,39283245,17211982,13407385,24801685,4.23%,1.99%,7.25%,4.94%
35,18323352,40968254,17141953,13222797,25636977,3.99%,1.75%,7.04%,4.73%
36,18605756,42514859,17475498,13206191,25551406,3.83%,1.60%,6.89%,4.59%
37,18857407,44037870,17894885,13379693,25836995,3.57%,1.34%,6.64%,4.35%
38,19213065,45855546,17925307,13418660,27072506,4.16%,1.92%,7.25%,4.94%
39,19573573,47743718,18263722,13405166,27256358,4.05%,1.81%,7.17%,4.87%
40,19929549,49681474,18866546,13217266,28100136,3.98%,1.74%,7.16%,4.85%
41,20209445,51487558,19165468,13226661,28845338,3.43%,1.21%,6.58%,4.29%
42,20583225,53593513,19210545,13293029,29308638,4.02%,1.78%,7.20%,4.90%
43,21024931,55947962,19821281,13446027,29942856,4.01%,1.77%,7.18%,4.87%
44,21426872,58271925,20224387,13655403,30685348,4.13%,1.88%,7.29%,4.98%
45,21794284,60575094,20962060,14118876,30667622,4.08%,1.84%,7.29%,4.98%
46,22176299,62992879,21343505,14550447,31834304,3.97%,1.73%,7.16%,4.85%
47,22533222,65414884,22009081,14916318,32393868,3.74%,1.51%,6.95%,4.64%
48,22931982,68037094,21919324,15292275,33168701,3.77%,1.53%,6.93%,4.63%
49,23396860,70943507,22460332,15281921,33169375,4.36%,2.11%,7.54%,5.22%
