Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5980317,6159727,5962821,5726379,6234992,4.05%,1.02%,6.49%,3.39%
2,6216122,6594684,6196516,5818091,6686883,7.04%,3.93%,7.16%,4.04%
3,6529263,7086213,6524629,6045167,7048379,7.46%,5.04%,7.51%,5.10%
4,6821462,7573614,6801862,6318365,7354082,6.89%,4.49%,6.93%,4.53%
5,7114507,8080648,7112090,6436789,7753644,6.66%,4.26%,6.69%,4.29%
6,7441320,8646233,7369900,6683741,8391272,6.99%,4.59%,7.02%,4.61%
7,7816648,9291229,7701089,6999139,9022236,7.47%,5.05%,7.49%,5.07%
8,8241226,10021208,8150774,7273830,9427876,7.87%,5.44%,7.85%,5.43%
9,8661449,10774433,8554986,7570095,9922447,7.48%,5.06%,7.43%,5.02%
10,9115475,11600023,8974984,7765284,10513417,7.66%,5.24%,7.61%,5.19%
11,9595110,12503438,9553122,8294247,10956189,7.81%,5.28%,7.79%,5.27%
12,10040624,13398005,9999202,8583054,11497065,7.19%,4.68%,7.12%,4.61%
13,10582765,14460341,10618973,9053443,12166650,7.96%,5.43%,7.84%,5.31%
14,11081338,15504993,11027969,9270449,12961026,7.26%,4.75%,7.19%,4.67%
15,11636975,16673218,11622263,9796826,13368463,7.50%,4.98%,7.45%,4.93%
16,12119921,17781937,12012507,10298258,13926858,6.62%,4.12%,6.51%,4.01%
17,12691240,19067041,12676011,10569494,14607031,7.23%,4.71%,7.04%,4.53%
18,13284491,20437327,13334994,10973586,15422859,7.15%,4.64%,7.01%,4.50%
19,13848028,21815595,13826902,11213514,15934107,6.62%,4.13%,7.02%,4.51%
20,14430051,23278070,14237645,11825895,17423945,6.67%,4.17%,6.35%,3.86%
21,15181462,25029005,14858551,12394181,18611593,7.49%,5.18%,7.18%,4.88%
22,15904699,26798244,15569347,12759505,19576996,7.00%,4.70%,6.73%,4.44%
23,16775556,28887416,16242835,13441246,20447639,7.74%,5.42%,7.42%,5.10%
24,17693407,31138246,17035465,13974954,21802961,7.77%,5.45%,7.53%,5.22%
25,18652376,33548086,18017011,14655945,23371085,7.69%,5.37%,7.39%,5.08%
26,19714100,36237766,19071986,15467106,24724525,7.94%,5.62%,7.58%,5.26%
27,20705477,38897402,20377908,16528990,25914370,7.38%,5.07%,7.16%,4.86%
28,21799124,41852875,21416895,17257452,27939371,7.60%,5.28%,7.26%,4.95%
29,22822924,44782511,22312333,18124426,28970546,6.97%,4.66%,6.63%,4.34%
30,23719281,47565227,23373946,18313414,29747173,6.21%,3.93%,6.97%,4.67%
31,25002268,51241088,24609812,19249269,31584512,7.74%,5.42%,7.42%,5.11%
32,26169973,54814203,25322938,20263013,33722999,6.89%,4.59%,6.53%,4.24%
33,27486931,58839231,26697494,21479581,34847593,7.34%,5.03%,7.02%,4.72%
34,28889947,63203099,27745198,22458870,37406802,7.59%,5.28%,7.25%,4.94%
35,30389738,67946874,29001251,23473404,39753470,7.33%,5.02%,7.04%,4.73%
36,31830792,72734568,30187131,24499285,41866507,7.19%,4.88%,6.89%,4.59%
37,33281293,77722096,32071640,25400415,43454902,6.93%,4.62%,6.64%,4.35%
38,35009779,83557336,33604269,26495209,45985779,7.60%,5.29%,7.25%,4.94%
39,36800629,89763826,34998648,27745800,46905797,7.46%,5.14%,7.17%,4.87%
40,38654886,96361024,36649242,28853963,49911633,7.35%,5.03%,7.16%,4.85%
41,40452159,103059873,38448231,29460320,53320269,6.86%,4.56%,6.58%,4.29%
42,42537263,110756274,40856985,31175804,56862215,7.47%,5.16%,7.20%,4.90%
43,44813772,119250771,43436213,32573077,61574815,7.46%,5.15%,7.18%,4.87%
44,47147963,128222287,46625311,34120987,63086923,7.58%,5.27%,7.29%,4.98%
45,49499636,137579424,48760326,35602325,65871469,7.48%,5.17%,7.29%,4.98%
46,51998178,147703405,51735793,37945096,68883745,7.44%,5.13%,7.16%,4.85%
47,54523675,158284501,53771410,39780044,73269711,7.17%,4.86%,6.95%,4.64%
48,57200342,169708187,55265582,41901753,76632465,7.14%,4.83%,6.93%,4.63%
49,60198247,182531957,58533410,44938906,79582133,7.72%,5.40%,7.54%,5.22%
