Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5930317,6108227,5912821,5676379,6184992,3.18%,0.17%,6.49%,3.39%
2,6166122,6541639,6146516,5768091,6636883,7.08%,3.96%,7.16%,4.04%
3,6479263,7031948,6474629,5995167,6998379,7.50%,5.08%,7.51%,5.10%
4,6771462,7518101,6751862,6268365,7304082,6.93%,4.52%,6.93%,4.53%
5,7064507,8023858,7062090,6386789,7703644,6.69%,4.30%,6.69%,4.29%
6,7391320,8588137,7319900,6633741,8341272,7.03%,4.62%,7.02%,4.61%
7,7766648,9231797,7651089,6949139,8972236,7.50%,5.08%,7.49%,5.07%
8,8191226,9960408,8100774,7223830,9377876,7.90%,5.48%,7.85%,5.43%
9,8611449,10712236,8504986,7520095,9872447,7.51%,5.09%,7.43%,5.02%
10,9065475,11536395,8924984,7715284,10463417,7.69%,5.27%,7.61%,5.19%
11,9545110,12438283,9503122,8244247,10906189,7.84%,5.31%,7.79%,5.27%
12,9990624,13331286,9949202,8533054,11447065,7.22%,4.70%,7.12%,4.61%
13,10532765,14392021,10568973,9003443,12116650,7.99%,5.46%,7.84%,5.31%
14,11031338,15435033,10977969,9220449,12911026,7.29%,4.77%,7.19%,4.67%
15,11586975,16601579,11572263,9746826,13318463,7.52%,5.00%,7.45%,4.93%
16,12069921,17708579,11962507,10248258,13876858,6.64%,4.14%,6.51%,4.01%
17,12641240,18991922,12626011,10519494,14557031,7.25%,4.73%,7.04%,4.53%
18,13234491,20360405,13284994,10923586,15372859,7.17%,4.66%,7.01%,4.50%
19,13848028,21815595,13826902,11213514,15934107,7.03%,4.53%,7.02%,4.51%
20,14430051,23278070,14237645,11825895,17423945,6.67%,4.17%,6.35%,3.86%
21,15181462,25029005,14858551,12394181,18611593,7.49%,5.18%,7.18%,4.88%
22,15904699,26798244,15569347,12759505,19576996,7.00%,4.70%,6.73%,4.44%
23,16775556,28887416,16242835,13441246,20447639,7.74%,5.42%,7.42%,5.10%
24,17693407,31138246,17035465,13974954,21802961,7.77%,5.45%,7.53%,5.22%
25,18652376,33548086,18017011,14655945,23371085,7.69%,5.37%,7.39%,5.08%
26,19714100,36237766,19071986,15467106,24724525,7.94%,5.62%,7.58%,5.26%
27,20705477,38897402,20377908,16528990,25914370,7.38%,5.07%,7.16%,4.86%
28,21799124,41852875,21416895,17257452,27939371,7.60%,5.28%,7.26%,4.95%
29,22822924,44782511,22312333,18124426,28970546,6.97%,4.66%,6.63%,4.34%
30,23719281,47565227,23373946,18313414,29747173,6.21%,3.93%,6.97%,4.67%
31,25002268,51241088,24609812,19249269,31584512,7.74%,5.42%,7.42%,5.11%
32,26169973,54814203,25322938,20263013,33722999,6.89%,4.59%,6.53%,4.24%
33,27486931,58839231,26697494,21479581,34847593,7.34%,5.03%,7.02%,4.72%
34,28889947,63203099,27745198,22458870,37406802,7.59%,5.28%,7.25%,4.94%
35,30389738,67946874,29001251,23473404,39753470,7.33%,5.02%,7.04%,4.73%
36,31830792,72734568,30187131,24499285,41866507,7.19%,4.88%,6.89%,4.59%
37,33281293,77722096,32071640,25400415,43454902,6.93%,4.62%,6.64%,4.35%
38,35009779,83557336,33604269,26495209,45985779,7.60%,5.29%,7.25%,4.94%
39,36800629,89763826,34998648,27745800,46905797,7.46%,5.14%,7.17%,4.87%
40,38654886,96361024,36649242,28853963,49911633,7.35%,5.03%,7.16%,4.85%
41,40452159,103059873,38448231,29460320,53320269,6.86%,4.56%,6.58%,4.29%
42,42537263,110756274,40856985,31175804,56862215,7.47%,5.16%,7.20%,4.90%
43,44813772,119250771,43436213,32573077,61574815,7.46%,5.15%,7.18%,4.87%
44,47147963,128222287,46625311,34120987,63086923,7.58%,5.27%,7.29%,4.98%
45,49499636,137579424,48760326,35602325,65871469,7.48%,5.17%,7.29%,4.98%
46,51998178,147703405,51735793,37945096,68883745,7.44%,5.13%,7.16%,4.85%
47,54523675,158284501,53771410,39780044,73269711,7.17%,4.86%,6.95%,4.64%
48,57200342,169708187,55265582,41901753,76632465,7.14%,4.83%,6.93%,4.63%
49,60198247,182531957,58533410,44938906,79582133,7.72%,5.40%,7.54%,5.22%
