Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5924737,6102480,5912447,5659467,6162221,3.08%,0.08%,6.39%,3.29%
2,5979417,6343563,5938388,5648871,6431440,3.95%,0.92%,7.25%,4.13%
3,6099834,6620154,6067112,5667342,6643080,4.36%,2.01%,7.60%,5.18%
4,6178015,6859220,6120960,5733730,6698905,3.61%,1.28%,6.78%,4.38%
5,6256587,7106223,6229242,5668330,6986924,3.54%,1.22%,6.66%,4.27%
6,6360657,7390587,6323958,5717638,7180621,3.96%,1.62%,7.05%,4.64%
7,6500432,7726714,6380059,5821065,7542388,4.52%,2.17%,7.58%,5.16%
8,6653772,8090888,6548199,5774381,7644301,4.72%,2.37%,7.69%,5.27%
9,6762906,8412735,6691186,5736609,7847420,3.91%,1.58%,7.41%,4.99%
10,6707005,8535091,6618551,5680505,7899801,1.43%,-0.85%,7.59%,5.17%
11,6656898,8674638,6612790,5650145,7872959,1.61%,-0.77%,7.84%,5.31%
12,6556422,8748757,6475360,5526856,7712471,0.84%,-1.53%,7.05%,4.54%
13,6511302,8897075,6473935,5500652,7647203,1.71%,-0.67%,8.01%,5.47%
14,6417360,8979161,6441784,5325336,7475164,0.90%,-1.46%,7.30%,4.78%
15,6334839,9076427,6408297,5138209,7458474,1.01%,-1.36%,7.52%,5.00%
16,6196636,9091493,6123837,5024299,7472803,0.06%,-2.29%,6.53%,4.04%
17,6093042,9154052,5983160,4868413,7289124,0.60%,-1.76%,7.10%,4.59%
18,5974713,9191708,5875937,4682666,7268659,0.30%,-2.05%,6.92%,4.42%
19,5868774,9245417,5813028,4491276,6989693,0.39%,-1.96%,7.15%,4.63%
20,5728864,9241610,5666656,4410364,7040477,-0.17%,-2.51%,6.45%,3.95%
21,5638701,9296277,5566782,4306143,6877070,0.46%,-1.70%,7.15%,4.84%
22,5525659,9310328,5392133,4159837,6881092,-0.02%,-2.17%,6.68%,4.39%
23,5473457,9425263,5353018,4134258,6826929,1.06%,-1.12%,7.58%,5.27%
24,5409808,9520605,5198869,4009825,7049562,0.92%,-1.25%,7.50%,5.18%
25,5350627,9623616,5192430,3952673,6940452,0.98%,-1.19%,7.27%,4.96%
26,5336367,9809123,5130852,3820758,6976356,1.70%,-0.49%,7.59%,5.27%
27,5287413,9932959,5052351,3881334,6966403,1.33%,-0.86%,7.24%,4.93%
28,5280693,10138581,4999332,3822441,7006505,2.04%,-0.16%,7.32%,5.01%
29,5257038,10315216,4991501,3869269,6982794,1.62%,-0.56%,6.49%,4.20%
