Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,4273071,4148612,4259379,4092874,4465603,4.22%,1.19%,6.73%,3.62%
2,4473930,4217108,4467508,4221305,4741082,4.70%,1.65%,7.15%,4.03%
3,4678462,4310752,4654497,4323618,5062826,4.55%,2.20%,6.95%,4.54%
4,4926035,4436819,4907343,4480115,5375457,5.28%,2.92%,7.63%,5.21%
5,5182864,4563189,5177794,4703546,5733595,5.21%,2.84%,7.48%,5.06%
6,5452906,4693005,5383279,4938634,6044833,5.24%,2.88%,7.45%,5.03%
7,5748024,4835773,5733107,5105756,6402959,5.43%,3.06%,7.56%,5.14%
8,6038677,4966078,6006418,5285502,6824195,5.01%,2.65%,7.08%,4.67%
9,6342716,5098840,6271909,5486339,7319841,4.99%,2.63%,6.98%,4.58%
10,6641879,5219290,6612630,5649908,7625108,4.65%,2.30%,6.61%,4.21%
11,6971524,5349932,6864314,5919387,8018073,4.94%,2.48%,6.84%,4.34%
12,7363948,5518630,7220735,6187521,8625250,5.60%,3.13%,7.46%,4.94%
13,7785977,5698148,7707817,6408865,9155370,5.65%,3.17%,7.42%,4.90%
14,8220495,5875146,8158596,6722768,9751757,5.55%,3.08%,7.28%,4.77%
15,8639966,6030214,8484301,6957421,10455072,5.06%,2.60%,6.72%,4.22%
16,9104314,6205374,9029299,7203593,11021220,5.28%,2.81%,6.87%,4.36%
17,9419770,6269907,9285094,7276683,11646614,3.34%,0.92%,7.17%,4.66%
18,9755311,6341061,9589820,7478154,12103174,3.43%,1.01%,6.92%,4.41%
19,10099521,6410939,10004429,7685317,12666749,3.43%,1.00%,6.87%,4.36%
20,10469387,6489962,10333969,7919610,13341554,3.57%,1.14%,7.03%,4.53%
21,10844056,6577514,10696636,8002151,13746496,3.45%,1.23%,6.83%,4.53%
22,11281419,6695497,11121276,8385845,14302424,3.89%,1.66%,7.21%,4.90%
23,11721071,6806683,11539125,8589193,15181617,3.83%,1.60%,7.12%,4.82%
24,12175944,6918627,11941092,8711382,16155417,3.74%,1.50%,6.97%,4.67%
25,12687220,7053958,12301308,9013158,16992329,4.15%,1.91%,7.37%,5.06%
26,13216927,7190284,12923433,9224849,17627210,4.04%,1.80%,7.22%,4.91%
27,13789161,7340108,13413157,9384895,18157976,4.13%,1.89%,7.19%,4.88%
28,14416884,7509052,14096313,9816268,19219681,4.38%,2.13%,7.34%,5.03%
29,15003506,7646375,14651000,10071618,20087459,3.93%,1.69%,6.84%,4.54%
30,15685606,7821918,15082731,10405654,21254547,4.41%,2.16%,7.27%,4.97%
31,16442253,8022734,15910222,10766936,22355460,4.69%,2.44%,7.42%,5.11%
32,17157992,8191748,16741978,11051751,23501038,4.30%,2.06%,6.98%,4.67%
33,17999688,8408610,17616312,11437046,25510495,4.76%,2.50%,7.39%,5.07%
34,18895617,8637129,18341779,12243032,26547907,4.95%,2.69%,7.50%,5.18%
35,19802394,8856766,18991630,12724157,27986993,4.72%,2.46%,7.22%,4.91%
36,20809224,9106730,19769756,13160359,30245061,4.85%,2.60%,7.30%,4.99%
