Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,4148612,4273071,4135319,3973664,4335537,4.22%,1.19%,6.73%,3.62%
2,4217108,4473930,4211055,3978985,4468924,4.70%,1.65%,7.15%,4.03%
3,4310752,4678462,4288671,3983797,4664907,4.55%,2.20%,6.95%,4.54%
4,4436819,4926035,4419984,4035185,4841608,5.28%,2.92%,7.63%,5.21%
5,4563189,5182864,4558725,4141179,5048074,5.21%,2.84%,7.48%,5.06%
6,4693005,5452906,4633081,4250401,5202442,5.24%,2.88%,7.45%,5.03%
7,4835773,5748024,4823224,4295437,5386766,5.43%,3.06%,7.56%,5.14%
8,4966078,6038677,4939549,4346683,5612071,5.01%,2.65%,7.08%,4.67%
9,5098840,6342716,5041919,4410407,5884340,4.99%,2.63%,6.98%,4.58%
10,5219290,6641879,5196306,4439784,5991927,4.65%,2.30%,6.61%,4.21%
11,5349932,6971524,5267659,4542524,6153051,4.94%,2.48%,6.84%,4.34%
12,5518630,7363948,5411304,4637002,6463864,5.60%,3.13%,7.46%,4.94%
13,5698148,7785977,5640947,4690312,6700334,5.65%,3.17%,7.42%,4.90%
14,5875146,8220495,5830906,4804728,6969530,5.55%,3.08%,7.28%,4.77%
15,6030214,8639966,5921569,4855891,7297057,5.06%,2.60%,6.72%,4.22%
16,6205374,9104314,6154245,4909869,7511910,5.28%,2.81%,6.87%,4.36%
17,6269907,9419770,6180265,4843444,7752119,3.34%,0.92%,7.17%,4.66%
18,6341061,9755311,6233490,4860884,7867198,3.43%,1.01%,6.92%,4.41%
19,6410939,10099521,6350577,4878459,8040555,3.43%,1.00%,6.87%,4.36%
20,6489962,10469387,6406017,4909358,8270415,3.57%,1.14%,7.03%,4.53%
21,6577514,10844056,6488095,4853743,8338003,3.45%,1.23%,6.83%,4.53%
22,6695497,11281419,6600453,4976981,8488457,3.89%,1.66%,7.21%,4.90%
23,6806683,11721071,6701023,4987932,8816297,3.83%,1.60%,7.12%,4.82%
24,6918627,12175944,6785180,4949990,9179848,3.74%,1.50%,6.97%,4.67%
25,7053958,12687220,6839396,5011219,9447553,4.15%,1.91%,7.37%,5.06%
26,7190284,13216927,7030617,5018510,9589570,4.04%,1.80%,7.22%,4.91%
27,7340108,13789161,7139958,4995673,9665672,4.13%,1.89%,7.19%,4.88%
28,7509052,14416884,7342083,5112816,10010595,4.38%,2.13%,7.34%,5.03%
29,7646375,15003506,7466724,5132892,10237357,3.93%,1.69%,6.84%,4.54%
30,7821918,15685606,7521283,5188972,10598973,4.41%,2.16%,7.27%,4.97%
31,8022734,16442253,7763138,5253554,10907988,4.69%,2.44%,7.42%,5.11%
32,8191748,17157992,7993131,5276443,11220112,4.30%,2.06%,6.98%,4.67%
33,8408610,17999688,8229515,5342852,11917307,4.76%,2.50%,7.39%,5.07%
34,8637129,18895617,8383972,5596253,12134968,4.95%,2.69%,7.50%,5.18%
35,8856766,19802394,8494146,5690972,12517388,4.72%,2.46%,7.22%,4.91%
36,9106730,20809224,8651828,5759361,13236130,4.85%,2.60%,7.30%,4.99%
