Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6014608,6195046,5997042,5760663,6269362,4.65%,1.60%,6.49%,3.39%
2,6152954,6527669,6134163,5759749,6616872,5.35%,2.28%,7.16%,4.04%
3,6361575,6904222,6356579,5885218,6868971,5.77%,3.39%,7.51%,5.10%
4,6545348,7267055,6523438,6041842,7068638,5.26%,2.89%,6.93%,4.53%
5,6725029,7638279,6712388,6055723,7352808,5.07%,2.70%,6.69%,4.29%
6,6933044,8055656,6886654,6193885,7846828,5.45%,3.08%,7.02%,4.61%
7,7183152,8538227,7082463,6391134,8329494,5.98%,3.60%,7.49%,5.07%
8,7485207,9101900,7407375,6554656,8640486,6.62%,4.22%,7.85%,5.43%
9,7834995,9746364,7728211,6853712,8976822,7.09%,4.68%,7.43%,5.02%
10,8244995,10492282,8122071,7027136,9468665,7.66%,5.24%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.89%,5.36%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10430717,14944916,10411542,8770698,11958991,6.41%,3.91%,7.45%,4.93%
16,10752811,15776159,10612973,9036684,12364573,5.52%,3.04%,6.51%,4.01%
17,11140447,16737162,11113537,9269577,12826764,6.07%,3.58%,7.04%,4.53%
18,11545009,17761247,11520115,9545234,13555903,6.08%,3.59%,7.01%,4.50%
19,11946402,18819855,11889201,9639333,13874153,5.82%,3.34%,7.02%,4.51%
20,12281790,19812568,12191247,9917848,14854989,5.20%,2.73%,6.35%,3.86%
21,12755996,21030246,12606424,10380396,15772091,6.08%,3.79%,7.18%,4.88%
22,13200863,22242480,13014083,10404605,16506180,5.66%,3.39%,6.73%,4.44%
23,13752506,23681741,13319883,10906715,16928506,6.38%,4.09%,7.42%,5.10%
24,14342954,25241856,13888649,11311379,18022442,6.53%,4.24%,7.53%,5.22%
25,14952466,26893442,14654067,11510335,19119677,6.43%,4.14%,7.39%,5.08%
26,15625680,28722577,15162875,11799159,19803675,6.66%,4.37%,7.58%,5.26%
27,16250625,30528497,15907746,12639679,20798717,6.29%,4.00%,7.16%,4.86%
28,16932776,32509809,16562600,12980126,22420134,6.43%,4.14%,7.26%,4.95%
29,17550063,34436248,16891791,13551168,23167778,5.85%,3.57%,6.63%,4.34%
30,18162012,36421012,17764312,13287261,23509762,5.68%,3.40%,6.97%,4.67%
31,18841924,38615725,18653097,14166948,25105176,5.97%,3.69%,7.42%,5.11%
32,19413406,40662267,18648853,14601426,25479732,5.13%,2.87%,6.53%,4.24%
33,20078615,42980799,19347510,15157551,26810630,5.63%,3.35%,7.02%,4.72%
34,20781069,45463149,20029145,15723916,28368449,5.89%,3.61%,7.25%,4.94%
35,21543971,48169071,20310791,15714258,29709686,5.69%,3.41%,7.04%,4.73%
36,22234136,50805845,20832745,16178071,30237865,5.56%,3.28%,6.89%,4.59%
37,22911786,53506097,21809331,16513787,31099520,5.32%,3.06%,6.64%,4.35%
38,23740398,56660866,22361230,16698343,32947065,5.95%,3.67%,7.25%,4.94%
39,24608060,60023801,22958811,17120917,33240070,5.90%,3.62%,7.17%,4.87%
40,25499748,63567172,24270959,17200409,34936646,5.86%,3.59%,7.16%,4.85%
41,26321306,67058731,25011380,17749226,36624076,5.33%,3.06%,6.58%,4.29%
42,27298713,71078945,25731387,18163057,38123093,5.96%,3.68%,7.20%,4.90%
43,28394797,75559393,26848215,18720131,40146054,5.98%,3.70%,7.18%,4.87%
44,29482277,80179180,28213789,19371656,41442226,6.13%,3.85%,7.29%,4.98%
45,30561412,84942474,29658739,20465548,43024679,6.11%,3.82%,7.29%,4.98%
46,31676862,89979700,30873434,21729911,45069472,5.96%,3.68%,7.16%,4.85%
47,32785135,95176614,32291112,22441417,46558020,5.74%,3.47%,6.95%,4.64%
48,33985976,100833285,33239779,23407266,48710682,5.78%,3.50%,6.93%,4.63%
49,35320713,107098780,34315486,24005941,49218142,6.36%,4.07%,7.54%,5.22%
