Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6149534,5970422,6131572,5887963,6411736,3.88%,0.85%,6.49%,3.39%
2,6432817,6063547,6411181,6016857,6921934,4.59%,1.54%,7.16%,4.04%
3,6755729,6224753,6748670,6241340,7302804,5.02%,2.66%,7.51%,5.10%
4,7061422,6360137,7036165,6507169,7632540,4.53%,2.18%,6.93%,4.53%
5,7371573,6490211,7351642,6622532,8077624,4.35%,2.00%,6.69%,4.29%
6,7799231,6712353,7733847,7022954,8766403,5.84%,3.46%,7.02%,4.61%
7,8387500,7056347,8282822,7538839,9641919,7.56%,5.14%,7.49%,5.07%
8,9054320,7446078,8965500,7970364,10349009,7.96%,5.53%,7.85%,5.43%
9,9740020,7829895,9613529,8525694,11118019,7.54%,5.12%,7.43%,5.02%
10,10492282,8244995,10335852,8942479,12049479,7.72%,5.29%,7.61%,5.19%
11,11317696,8685174,11270624,9841622,12838596,7.89%,5.36%,7.79%,5.27%
12,12130937,9091068,12131220,10402020,13798315,7.22%,4.71%,7.12%,4.61%
13,13090419,9580190,13144326,11230779,14966820,7.94%,5.41%,7.84%,5.31%
14,14038696,10033384,14079847,11904622,16293982,7.29%,4.77%,7.19%,4.67%
15,14881991,10386799,14846769,12531402,17055792,5.97%,3.49%,7.45%,4.93%
16,15638881,10659244,15417041,13170974,17973414,5.05%,2.58%,6.51%,4.01%
17,16513522,10991589,16451012,13790073,19009167,5.57%,3.10%,7.04%,4.53%
18,17440169,11336305,17372140,14447418,20471510,5.57%,3.09%,7.01%,4.50%
19,18391016,11674186,18265544,14934594,21342364,5.33%,2.86%,7.02%,4.51%
20,19259117,11938707,19063961,15611662,23263495,4.66%,2.20%,6.35%,3.86%
21,20327426,12329697,19995122,16610624,25108099,5.48%,3.21%,7.18%,4.88%
22,21372823,12684723,20958852,17090034,26732503,5.04%,2.78%,6.73%,4.44%
23,22620774,13136380,21798678,17983724,27888860,5.73%,3.46%,7.42%,5.10%
24,23968119,13619190,23102918,18894400,30078433,5.88%,3.60%,7.53%,5.22%
25,25386751,14114762,24746637,19482829,32595172,5.79%,3.51%,7.39%,5.08%
26,26960906,14667294,26062381,20342464,34119916,6.03%,3.75%,7.58%,5.26%
27,28495963,15168686,27772663,22243904,36650721,5.67%,3.39%,7.16%,4.86%
28,30182232,15720454,29401411,23071375,40100611,5.83%,3.55%,7.26%,4.95%
29,31802517,16207810,30438141,24415487,42103997,5.26%,3.00%,6.63%,4.34%
30,33423066,16667031,32472556,24239968,43536613,4.97%,2.71%,6.97%,4.67%
31,34919869,17038590,34439281,25958871,47100426,4.42%,2.17%,7.42%,5.11%
32,36227490,17296108,34680682,26769393,47983049,3.56%,1.33%,6.53%,4.24%
33,37711998,17617278,36177669,28002393,51300708,4.01%,1.77%,7.02%,4.72%
34,39270932,17950625,37652106,29331598,54205364,4.23%,1.99%,7.25%,4.94%
35,40955168,18317499,38326824,29564181,57319020,3.99%,1.75%,7.04%,4.73%
36,42501266,18599807,39903978,30176648,58384459,3.83%,1.60%,6.89%,4.59%
37,44023761,18851366,41786772,31245051,60337362,3.57%,1.34%,6.64%,4.35%
38,45840778,19206877,42778388,32026122,64562394,4.16%,1.92%,7.25%,4.94%
39,47728333,19567266,44545125,32697783,66476035,4.05%,1.81%,7.17%,4.87%
40,49665243,19923038,47031563,32948727,69978915,3.98%,1.74%,7.16%,4.85%
41,51470659,20202812,48827820,33697535,73462863,3.43%,1.21%,6.58%,4.29%
42,53576030,20576511,50019400,34596363,76312282,4.02%,1.78%,7.20%,4.90%
43,55929559,21018015,52740562,35780276,79678824,4.01%,1.77%,7.18%,4.87%
44,58252709,21419806,54986685,37119260,83451019,4.13%,1.88%,7.29%,4.98%
45,60555139,21787105,58195360,39241019,85226049,4.08%,1.84%,7.29%,4.98%
46,62972132,22168995,60626890,41331267,90425525,3.97%,1.73%,7.16%,4.85%
47,65392990,22525680,63893279,43302693,94040749,3.74%,1.51%,6.95%,4.64%
48,68014242,22924279,65032631,45370784,98274016,3.77%,1.53%,6.93%,4.63%
49,70919635,23388987,68103785,46337546,100575536,4.36%,2.11%,7.54%,5.22%
