Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5970422,6149534,5952982,5716469,6224986,3.88%,0.85%,6.49%,3.39%
2,6063547,6432817,6043153,5671465,6524587,4.59%,1.54%,7.16%,4.04%
3,6224753,6755729,6218249,5750793,6728830,5.02%,2.66%,7.51%,5.10%
4,6360137,7061422,6337388,5860928,6874536,4.53%,2.18%,6.93%,4.53%
5,6490211,7371573,6472663,5830727,7111845,4.35%,2.00%,6.69%,4.29%
6,6723192,7811825,6657182,6044256,7592604,5.99%,3.61%,7.02%,4.61%
7,7056816,8388058,6968282,6342374,8111681,7.41%,4.99%,7.49%,5.07%
8,7446078,9054320,7373034,6554656,8510803,7.95%,5.52%,7.85%,5.43%
9,7829895,9740020,7728211,6853712,8937654,7.54%,5.12%,7.43%,5.02%
10,8244995,10492282,8122071,7027136,9468665,7.72%,5.29%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.89%,5.36%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10386799,14881991,10362216,8746219,11903991,5.97%,3.49%,7.45%,4.93%
16,10659244,15638881,10508041,8977153,12250430,5.05%,2.58%,6.51%,4.01%
17,10991589,16513522,10949982,9178830,12652719,5.57%,3.10%,7.04%,4.53%
18,11336305,17440169,11292085,9390983,13306710,5.57%,3.09%,7.01%,4.50%
19,11674186,18391016,11594539,9480130,13547632,5.33%,2.86%,7.02%,4.51%
20,11938707,19259117,11817729,9677653,14421016,4.66%,2.20%,6.35%,3.86%
21,12329697,20327426,12128136,10075253,15229437,5.48%,3.21%,7.18%,4.88%
22,12684723,21372823,12439033,10142898,15865682,5.04%,2.78%,6.73%,4.44%
23,13136380,22620774,12658970,10443543,16195672,5.73%,3.46%,7.42%,5.10%
24,13619190,23968119,13127564,10736196,17091199,5.88%,3.60%,7.53%,5.22%
25,14114762,25386751,13758865,10832245,18122567,5.79%,3.51%,7.39%,5.08%
26,14667294,26960906,14178478,11066724,18561945,6.03%,3.75%,7.58%,5.26%
27,15168686,28495963,14783667,11840653,19509546,5.67%,3.39%,7.16%,4.86%
28,15720454,30182232,15313763,12016755,20886455,5.83%,3.55%,7.26%,4.95%
29,16207810,31802517,15512471,12443090,21457848,5.26%,3.00%,6.63%,4.34%
30,16667031,33423066,16193042,12087709,21710338,4.97%,2.71%,6.97%,4.67%
31,17038590,34919869,16804095,12666215,22981898,4.42%,2.17%,7.42%,5.11%
32,17296108,36227490,16557615,12780525,22908571,3.56%,1.33%,6.53%,4.24%
33,17617278,37711998,16900511,13081406,23965286,4.01%,1.77%,7.02%,4.72%
34,17950625,39270932,17210665,13407385,24777109,4.23%,1.99%,7.25%,4.94%
35,18317499,40955168,17141953,13222797,25636352,3.99%,1.75%,7.04%,4.73%
36,18599807,42501266,17463157,13206191,25550761,3.83%,1.60%,6.89%,4.59%
37,18851366,44023761,17893467,13379409,25836995,3.57%,1.34%,6.64%,4.35%
38,19206877,45840778,17923763,13418660,27051068,4.16%,1.92%,7.25%,4.94%
39,19567266,47728333,18262241,13405166,27253294,4.05%,1.81%,7.17%,4.87%
40,19923038,49665243,18866546,13217266,28071796,3.98%,1.74%,7.16%,4.85%
41,20202812,51470659,19165468,13226661,28835000,3.43%,1.21%,6.58%,4.29%
42,20576511,53576030,19210545,13287144,29308638,4.02%,1.78%,7.20%,4.90%
43,21018015,55929559,19819608,13446027,29942856,4.01%,1.77%,7.18%,4.87%
44,21419806,58252709,20218873,13648934,30685348,4.13%,1.88%,7.29%,4.98%
45,21787105,60555139,20938081,14118507,30663440,4.08%,1.84%,7.29%,4.98%
46,22168995,62972132,21343366,14550447,31833813,3.97%,1.73%,7.16%,4.85%
47,22525680,65392990,22009081,14916318,32393868,3.74%,1.51%,6.95%,4.64%
48,22924279,68014242,21919324,15292275,33123371,3.77%,1.53%,6.93%,4.63%
49,23388987,70919635,22460332,15281921,33169375,4.36%,2.11%,7.54%,5.22%
