Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6019966,6200565,6002471,5766028,6274641,4.74%,1.69%,6.49%,3.39%
2,6164034,6539424,6144760,5770404,6628208,5.45%,2.38%,7.16%,4.04%
3,6378766,6922880,6373978,5901568,6887021,5.86%,3.48%,7.51%,5.10%
4,6568820,7293115,6546653,6064801,7093030,5.35%,2.98%,6.93%,4.53%
5,6755009,7672330,6743210,6084562,7384039,5.16%,2.79%,6.69%,4.29%
6,6969860,8098434,6922978,6228201,7886191,5.54%,3.17%,7.02%,4.61%
7,7227223,8590612,7125901,6433515,8377416,6.07%,3.69%,7.49%,5.07%
8,7526374,9151959,7458144,6588430,8696641,6.54%,4.14%,7.85%,5.43%
9,7848225,9762821,7733474,6853712,9035772,6.67%,4.28%,7.43%,5.02%
10,8246454,10494138,8122071,7027136,9468665,7.51%,5.10%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.88%,5.35%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10386799,14881991,10362216,8746219,11903991,5.97%,3.49%,7.45%,4.93%
16,10659244,15638881,10508041,8977153,12250430,5.05%,2.58%,6.51%,4.01%
17,10991589,16513522,10949982,9178830,12652719,5.57%,3.10%,7.04%,4.53%
18,11336305,17440169,11292085,9390983,13306710,5.57%,3.09%,7.01%,4.50%
19,11674186,18391016,11594539,9480130,13547632,5.33%,2.86%,7.02%,4.51%
20,11938707,19259117,11817729,9677653,14421016,4.66%,2.20%,6.35%,3.86%
21,12329697,20327426,12128136,10075253,15229437,5.48%,3.21%,7.18%,4.88%
22,12684723,21372823,12439033,10142898,15865682,5.04%,2.78%,6.73%,4.44%
23,13136380,22620774,12658970,10443543,16195672,5.73%,3.46%,7.42%,5.10%
24,13619190,23968119,13127564,10736196,17091199,5.88%,3.60%,7.53%,5.22%
25,14114762,25386751,13758865,10832245,18122567,5.79%,3.51%,7.39%,5.08%
26,14667390,26961081,14178478,11066724,18561945,6.03%,3.75%,7.58%,5.26%
27,15169177,28496884,14783667,11840653,19509546,5.67%,3.39%,7.16%,4.86%
28,15722148,30185483,15313763,12016755,20887607,5.84%,3.56%,7.26%,4.95%
29,16211689,31810127,15514524,12443090,21458140,5.28%,3.01%,6.63%,4.34%
30,16671066,33431157,16193042,12087709,21711381,4.97%,2.71%,6.97%,4.67%
31,16992534,34825478,16752933,12670928,22912728,4.12%,1.88%,7.42%,5.11%
32,17195781,36017350,16474995,12704559,22760774,3.25%,1.03%,6.53%,4.24%
33,17457277,37369495,16749458,12966769,23742155,3.68%,1.44%,7.02%,4.72%
34,17725562,38778557,16986845,13250196,24451488,3.87%,1.64%,7.25%,4.94%
35,18020641,40291438,16854199,13021996,25175886,3.61%,1.38%,7.04%,4.73%
36,18227016,41649423,17118397,13010817,25009588,3.43%,1.21%,6.89%,4.59%
37,18397568,42964002,17459335,13085115,25181838,3.15%,0.93%,6.64%,4.35%
38,18664075,44545280,17411153,13042165,26248507,3.71%,1.48%,7.25%,4.94%
39,18927210,46167113,17656622,12991399,26315181,3.58%,1.35%,7.17%,4.87%
40,19179116,47810755,18142841,12720923,26977012,3.48%,1.26%,7.16%,4.85%
41,19351018,49300544,18351373,12679670,27561526,2.92%,0.70%,6.58%,4.29%
42,19605672,51048211,18303679,12654517,27915801,3.48%,1.25%,7.20%,4.90%
43,19916459,52998287,18768714,12807270,28343427,3.44%,1.21%,7.18%,4.87%
44,20180879,54883358,19040497,12881478,28910630,3.53%,1.30%,7.29%,4.98%
45,20404772,56713081,19634019,13216192,28753066,3.46%,1.23%,7.29%,4.98%
46,20637408,58621581,19887749,13545576,29536773,3.34%,1.12%,7.16%,4.85%
47,20839523,60498005,20304941,13799817,29857144,3.09%,0.87%,6.95%,4.64%
48,21071677,62517740,20076425,14061445,30491370,3.09%,0.87%,6.93%,4.63%
49,21358720,64763497,20462205,13966030,30211152,3.67%,1.43%,7.54%,5.22%
