Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6146787,5967755,6128825,5885216,6408989,3.83%,0.81%,6.49%,3.39%
2,6591568,6213185,6571673,6169509,7090549,7.22%,4.10%,7.16%,4.04%
3,7092753,6535288,7090260,6564541,7655541,7.61%,5.19%,7.51%,5.10%
4,7589410,6835689,7566923,7023248,8187650,7.01%,4.61%,6.93%,4.53%
5,8105477,7136368,8101752,7322789,8829836,6.77%,4.37%,6.69%,4.29%
6,8681305,7471504,8609984,7788382,9790915,7.10%,4.69%,7.02%,4.61%
7,9338402,7856334,9204408,8363658,10779713,7.57%,5.16%,7.49%,5.07%
8,10079924,8289513,9972682,8882363,11537965,7.95%,5.52%,7.85%,5.43%
9,10842251,8715966,10699605,9458040,12401966,7.53%,5.11%,7.43%,5.02%
10,11678067,9176803,11502573,9949252,13456529,7.70%,5.28%,7.61%,5.19%
11,12594795,9665217,12531290,10913773,14305631,7.88%,5.35%,7.79%,5.27%
12,13497936,10115513,13478410,11559001,15381122,7.21%,4.69%,7.12%,4.61%
13,14566458,10660426,14635031,12437150,16724755,7.95%,5.42%,7.84%,5.31%
14,15619531,11163199,15616805,13124120,18183629,7.27%,4.76%,7.19%,4.67%
15,16800286,11725662,16752898,14078072,19300675,7.53%,5.01%,7.45%,4.93%
16,17912346,12208806,17691722,15147731,20569033,6.59%,4.09%,6.51%,4.01%
17,19192620,12774827,19159614,16060830,22097348,7.15%,4.64%,7.04%,4.53%
18,20559375,13363824,20541078,17039129,24048771,7.10%,4.59%,7.01%,4.50%
19,21961394,13940577,21889089,17882042,25377304,6.70%,4.20%,7.02%,4.51%
20,23390357,14499658,23145678,19115789,28197030,6.46%,3.97%,6.35%,3.86%
21,25106904,15228712,24725605,20541508,30851695,7.31%,5.00%,7.18%,4.88%
22,26840434,15929739,26422325,21610708,33126592,6.84%,4.54%,6.73%,4.44%
23,28879868,16771173,27941959,23164366,35193297,7.54%,5.23%,7.42%,5.10%
24,31090487,17666269,30070668,24787633,38623673,7.64%,5.32%,7.53%,5.22%
25,33445118,18595128,32729405,26267376,42115134,7.51%,5.20%,7.39%,5.08%
26,36054325,19614304,35036973,28146263,45405462,7.72%,5.40%,7.58%,5.26%
27,38655724,20576829,38132767,30956167,48573217,7.26%,4.95%,7.16%,4.86%
28,41517243,21624310,40703108,32973563,53327628,7.39%,5.08%,7.26%,4.95%
29,44334239,22594467,42905336,35154048,56683691,6.76%,4.46%,6.63%,4.34%
30,46766367,23320915,45863106,35844116,59342044,5.47%,3.20%,6.97%,4.67%
31,50274335,24530556,49652096,38503567,64209749,7.52%,5.20%,7.42%,5.11%
32,53651688,25614952,51977452,41563783,69084155,6.63%,4.34%,6.53%,4.24%
33,57461064,26843116,55441066,44917397,73298137,7.10%,4.80%,7.02%,4.72%
34,61580067,28148064,59501603,48670246,80871721,7.33%,5.02%,7.25%,4.94%
35,66051240,29541902,62937602,50626301,86789883,7.09%,4.79%,7.04%,4.73%
36,70548105,30873931,66725667,54488843,92493201,6.95%,4.65%,6.89%,4.59%
37,75212267,32206562,72573970,57281613,98245959,6.68%,4.38%,6.64%,4.35%
38,80638917,33786988,77632247,60758901,106138995,7.31%,5.00%,7.25%,4.94%
39,86417270,35428636,82233305,64803057,111056238,7.19%,4.89%,7.17%,4.87%
40,92580822,37138472,88626815,68956719,118646418,7.14%,4.84%,7.16%,4.85%
41,98762950,38765568,93608733,72374443,130089054,6.59%,4.29%,6.58%,4.29%
42,105860325,40656916,101701511,77628522,142455184,7.20%,4.89%,7.20%,4.90%
43,113702461,42728748,111003823,81584532,155164705,7.18%,4.87%,7.18%,4.87%
44,121892412,44820437,119334696,86562416,164810498,7.27%,4.96%,7.29%,4.98%
45,130491422,46949447,130129796,94278857,177391227,7.23%,4.92%,7.29%,4.98%
46,139684475,49175158,138747692,102904335,188031407,7.11%,4.81%,7.16%,4.85%
47,149262331,51415841,147997053,109924918,205024005,6.86%,4.56%,6.95%,4.64%
48,159558057,53779229,156255490,116268962,217704872,6.82%,4.52%,6.93%,4.63%
49,171128690,56437499,168707121,126864923,229573601,7.42%,5.10%,7.54%,5.22%
