Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6201034,6020422,6183072,5939463,6463236,4.75%,1.70%,6.49%,3.39%
2,6540624,6165165,6519696,6122694,7032968,5.46%,2.39%,7.16%,4.04%
3,6925036,6380753,6919811,6406461,7477334,5.88%,3.50%,7.51%,5.10%
4,7296412,6571790,7271851,6736452,7878721,5.37%,3.00%,6.93%,4.53%
5,7676951,6759078,7663766,6915329,8392114,5.17%,2.81%,6.69%,4.29%
6,8104560,6975132,8049683,7242112,9170679,5.56%,3.18%,7.02%,4.61%
7,8598448,7233816,8477251,7653961,9967663,6.09%,3.70%,7.49%,5.07%
8,9160812,7533655,9078955,8018576,10585005,6.54%,4.14%,7.85%,5.43%
9,9767501,7851987,9620425,8525694,11251445,6.62%,4.22%,7.43%,5.02%
10,10495295,8247364,10335852,8942479,12049479,7.48%,5.06%,7.61%,5.19%
11,11317696,8685174,11270624,9841622,12838596,7.87%,5.34%,7.79%,5.27%
12,12130937,9091068,12131220,10402020,13798315,7.22%,4.71%,7.12%,4.61%
13,13090419,9580190,13144326,11230779,14966820,7.94%,5.41%,7.84%,5.31%
14,14038696,10033384,14079847,11904622,16293982,7.29%,4.77%,7.19%,4.67%
15,14881991,10386799,14846769,12531402,17055792,5.97%,3.49%,7.45%,4.93%
16,15638881,10659244,15417041,13170974,17973414,5.05%,2.58%,6.51%,4.01%
17,16513522,10991589,16451012,13790073,19009167,5.57%,3.10%,7.04%,4.53%
18,17440169,11336305,17372140,14447418,20471510,5.57%,3.09%,7.01%,4.50%
19,18391016,11674186,18265544,14934594,21342364,5.33%,2.86%,7.02%,4.51%
20,19259117,11938707,19063961,15611662,23263495,4.66%,2.20%,6.35%,3.86%
21,20327426,12329697,19995122,16610624,25108099,5.48%,3.21%,7.18%,4.88%
22,21372823,12684723,20958852,17090034,26732503,5.04%,2.78%,6.73%,4.44%
23,22620774,13136380,21798678,17983724,27888860,5.73%,3.46%,7.42%,5.10%
24,23968119,13619190,23102918,18894400,30078433,5.88%,3.60%,7.53%,5.22%
25,25386769,14114772,24746637,19482829,32595172,5.79%,3.51%,7.39%,5.08%
26,26961237,14667475,26062381,20342464,34119916,6.03%,3.75%,7.58%,5.26%
27,28497444,15169475,27772663,22243904,36650721,5.67%,3.39%,7.16%,4.86%
28,30186598,15722728,29401411,23071375,40103659,5.84%,3.56%,7.26%,4.95%
29,31811957,16212621,30447351,24415487,42104984,5.28%,3.01%,6.63%,4.34%
30,33433111,16672040,32472556,24239968,43543320,4.97%,2.71%,6.97%,4.67%
31,34930420,17043738,34439281,26049903,47117338,4.42%,2.17%,7.42%,5.11%
32,36238580,17301403,34730113,26769393,47996365,3.56%,1.33%,6.53%,4.24%
33,37723670,17622730,36205191,28002393,51354727,4.01%,1.77%,7.02%,4.72%
34,39283245,17956253,37654989,29331598,54259129,4.23%,1.99%,7.25%,4.94%
35,40968254,18323352,38326824,29564181,57320418,3.99%,1.75%,7.04%,4.73%
36,42514859,18605756,39932178,30176648,58385933,3.83%,1.60%,6.89%,4.59%
37,44037870,18857407,41790083,31245714,60337362,3.57%,1.34%,6.64%,4.35%
38,45855546,19213065,42782073,32026122,64613560,4.16%,1.92%,7.25%,4.94%
39,47743718,19573573,44548737,32697783,66483509,4.05%,1.81%,7.17%,4.87%
40,49681474,19929549,47031563,32948727,70049564,3.98%,1.74%,7.16%,4.85%
41,51487558,20209445,48827820,33697535,73489202,3.43%,1.21%,6.58%,4.29%
42,53593513,20583225,50019400,34611686,76312282,4.02%,1.78%,7.20%,4.90%
43,55947962,21024931,52745015,35780276,79678824,4.01%,1.77%,7.18%,4.87%
44,58271925,21426872,55001680,37136854,83451019,4.13%,1.88%,7.29%,4.98%
45,60575094,21794284,58262007,39242043,85237674,4.08%,1.84%,7.29%,4.98%
46,62992879,22176299,60627285,41331267,90426919,3.97%,1.73%,7.16%,4.85%
47,65414884,22533222,63893279,43302693,94040749,3.74%,1.51%,6.95%,4.64%
48,68037094,22931982,65032631,45370784,98408505,3.77%,1.53%,6.93%,4.63%
49,70943507,23396860,68103785,46337546,100575536,4.36%,2.11%,7.54%,5.22%
