Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5924737,6102480,5912447,5659467,6162221,3.08%,0.08%,6.39%,3.29%
2,6170700,6546496,6127399,5830385,6627309,7.27%,4.15%,7.25%,4.13%
3,6494324,7048294,6459328,6037905,7046729,7.67%,5.25%,7.60%,5.18%
4,6781701,7529469,6720813,6320091,7311902,6.84%,4.44%,6.78%,4.38%
5,7077971,8039150,7055536,6414297,7839603,6.73%,4.33%,6.66%,4.27%
6,7413002,8613330,7355485,6720488,8320733,7.12%,4.71%,7.05%,4.64%
7,7801031,9272666,7654753,7054176,8986913,7.66%,5.24%,7.58%,5.16%
8,8216669,9991347,8107917,7216730,9289594,7.79%,5.36%,7.69%,5.27%
9,8597624,10695038,8492398,7416150,9823688,7.01%,4.61%,7.41%,4.99%
10,8825800,11231393,8771299,7593599,10086620,5.01%,2.65%,7.59%,5.17%
11,9313925,12137024,9264516,8121389,10675774,8.08%,5.55%,7.84%,5.31%
12,9754913,13016758,9653528,8428307,11159415,7.27%,4.76%,7.05%,4.54%
13,10307149,14083739,10408704,8884327,11833921,8.26%,5.72%,8.01%,5.47%
14,10815011,15132347,10874456,9246751,12291479,7.47%,4.96%,7.30%,4.78%
15,11373251,16295359,11563444,9559748,12929791,7.67%,5.14%,7.52%,5.00%
16,11851528,17388160,11921467,10061083,13817770,6.67%,4.17%,6.53%,4.04%
17,12415554,18652856,12364926,10386785,14244504,7.25%,4.74%,7.10%,4.59%
18,12980109,19969056,12903299,10677359,15398074,7.04%,4.53%,6.92%,4.42%
19,13600234,21425231,13537062,11072317,15655453,7.21%,4.70%,7.15%,4.63%
20,14154040,22832817,14127148,11392728,16710171,6.53%,4.04%,6.45%,3.95%
21,14854332,24489680,14926394,12143578,18008260,7.22%,4.92%,7.15%,4.84%
22,15518090,26146837,15361481,12666909,18768969,6.71%,4.41%,6.68%,4.39%
23,16353830,28161206,16255477,13335590,19822290,7.65%,5.33%,7.58%,5.27%
24,17197310,30265176,16882242,13708825,21037671,7.48%,5.17%,7.50%,5.18%
25,18059967,32482580,17947260,14243029,22482405,7.26%,4.95%,7.27%,4.96%
26,19032034,34984016,18697175,14781493,23899886,7.59%,5.27%,7.59%,5.27%
27,19938795,37457111,19323027,15792998,25173965,7.15%,4.85%,7.24%,4.93%
28,20927831,40180050,20151133,16592173,26448021,7.24%,4.93%,7.32%,5.01%
29,21798952,42773302,21083076,17404287,27185969,6.40%,4.11%,6.49%,4.20%
