Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,28372,11499,0,0,0,0,95318,,,,
2,28372,11610,0,0,0,0,101799,,,,
3,28372,11649,0,0,0,0,110535,,,,
4,21564,8787,0,0,0,0,117759,,,,
5,23207,9480,0,0,0,0,125211,,,,
6,25322,10369,0,0,0,0,134765,,,,
7,27748,11381,97,0,0,0,145660,,,,
8,31039,12743,498,0,0,0,160309,,,,
9,33857,13888,925,0,0,0,172634,,,,
10,38023,15550,2355,0,0,0,190506,,,,
11,41986,17119,3648,0,0,0,207374,,,,
12,46041,18707,5444,0,0,0,224457,,,,
13,50921,20599,6880,0,0,0,244796,,,,
14,56698,22783,8798,0,0,0,268285,,,,
15,62831,24979,10261,0,0,0,291892,,,,
16,69972,27349,11908,0,0,0,317351,,,,
17,78819,30273,13226,0,0,0,348684,,,,
18,88555,33373,14893,0,0,0,381641,,,,
19,99044,36540,16262,0,0,0,415327,,,,
20,112083,40401,18061,0,0,0,455515,,,,
21,129385,45451,20121,0,0,0,507884,,,,
22,145248,50071,21984,0,0,0,554462,,,,
