Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5980317,6159727,5962821,5726379,6234992,4.05%,1.02%,6.49%,3.39%
2,6084264,6454796,6063275,5691392,6547235,4.77%,1.72%,7.16%,4.04%
3,6258372,6792215,6249443,5783248,6765938,5.23%,2.86%,7.51%,5.10%
4,6408212,7114799,6387900,5915419,6912836,4.75%,2.40%,6.93%,4.53%
5,6554534,7444631,6526485,5904286,7155907,4.59%,2.24%,6.69%,4.29%
6,6753138,7846620,6679149,6060162,7638454,5.41%,3.04%,7.02%,4.61%
7,7079667,8415220,6980489,6363142,8130675,7.29%,4.88%,7.49%,5.07%
8,7476779,9091652,7395622,6614833,8527821,8.05%,5.62%,7.85%,5.43%
9,7871374,9791618,7777278,6885157,9004434,7.66%,5.24%,7.43%,5.02%
10,8296961,10558412,8164599,7081756,9529477,7.83%,5.40%,7.61%,5.19%
11,8746161,11397168,8716636,7618434,9946110,7.97%,5.44%,7.79%,5.27%
12,9164510,12228937,9133342,7882629,10487980,7.33%,4.82%,7.12%,4.61%
13,9669410,13212328,9699818,8284455,11044270,8.07%,5.54%,7.84%,5.31%
14,10136552,14183050,10107257,8523471,11845778,7.39%,4.87%,7.19%,4.67%
15,10501758,15046702,10480087,8893146,12047433,6.05%,3.56%,7.45%,4.93%
16,10790038,15830777,10667875,9171424,12404279,5.17%,2.70%,6.51%,4.01%
17,11143976,16742465,11103634,9296672,12834355,5.74%,3.26%,7.04%,4.53%
18,11510153,17707623,11541642,9523671,13399404,5.71%,3.23%,7.01%,4.50%
19,11864147,18690274,11829217,9630581,13710176,5.43%,2.96%,7.02%,4.51%
20,12151337,19602125,11993032,9902944,14685763,4.82%,2.36%,6.35%,3.86%
21,12567320,20719185,12269518,10182457,15481711,5.63%,3.36%,7.18%,4.88%
22,12947118,21814938,12617346,10316481,16064338,5.18%,2.92%,6.73%,4.44%
23,13431588,23129121,12919857,10657120,16500450,5.92%,3.64%,7.42%,5.10%
24,13943739,24539286,13392186,10877080,17413950,6.02%,3.74%,7.53%,5.22%
25,14474101,26033057,13890308,11160726,18430017,5.97%,3.69%,7.39%,5.08%
26,15071713,27704294,14571375,11426575,19102603,6.26%,3.97%,7.58%,5.26%
27,15607698,29320691,15231017,12073134,19995767,5.81%,3.53%,7.16%,4.86%
28,16206929,31116231,15784059,12412176,21634319,6.05%,3.77%,7.26%,4.95%
29,16745593,32857740,16106408,12791558,22128501,5.49%,3.22%,6.63%,4.34%
30,17252586,34597304,16724291,12604101,22470616,5.18%,2.92%,6.97%,4.67%
31,17687370,36249515,17373612,13016525,23419886,4.75%,2.49%,7.42%,5.11%
32,18011695,37726318,17233574,13328583,23920341,3.93%,1.69%,6.53%,4.24%
33,18402973,39393877,17442545,13692189,24884430,4.36%,2.12%,7.02%,4.72%
34,18811191,41153609,17943166,13972033,25855776,4.61%,2.35%,7.25%,4.94%
35,19256580,43054810,18066638,14217968,26378174,4.35%,2.10%,7.04%,4.73%
36,19618057,44828005,18441269,14112752,26982737,4.21%,1.97%,6.89%,4.59%
37,19952807,46595966,19022637,14272162,27308508,3.96%,1.73%,6.64%,4.35%
38,20415108,48724444,19072174,14368572,28472546,4.62%,2.37%,7.25%,4.94%
39,20879879,50930049,19585555,14474989,28694764,4.49%,2.24%,7.17%,4.87%
40,21336286,53188265,19864089,14592127,29739155,4.37%,2.12%,7.16%,4.85%
41,21730974,55363954,20562282,14846068,29986658,3.92%,1.69%,6.58%,4.29%
42,22237562,57900988,20933917,14968872,31064728,4.53%,2.28%,7.20%,4.90%
43,22817002,60716715,21520131,14953443,31828832,4.55%,2.30%,7.18%,4.87%
44,23379208,63581445,22147454,15417270,33342938,4.72%,2.46%,7.29%,4.98%
45,23894162,66411501,23071073,15585874,33870939,4.62%,2.37%,7.29%,4.98%
46,24458606,69475884,23805099,16531706,34073471,4.66%,2.41%,7.16%,4.85%
47,25002889,72584430,24424028,16663209,35039714,4.42%,2.17%,6.95%,4.64%
48,25602508,75960303,24677253,17066883,36020148,4.47%,2.23%,6.93%,4.63%
49,26290767,79718354,25556628,17590215,36893229,5.07%,2.81%,7.54%,5.22%
