Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6159727,5980317,6141706,5898170,6422042,4.05%,1.02%,6.49%,3.39%
2,6454796,6084264,6432528,6037998,6945961,4.77%,1.72%,7.16%,4.04%
3,6792215,6258372,6782524,6276563,7343078,5.23%,2.86%,7.51%,5.10%
4,7114799,6408212,7092246,6567669,7675063,4.75%,2.40%,6.93%,4.53%
5,7444631,6554534,7412773,6706080,8127670,4.59%,2.24%,6.69%,4.29%
6,7846620,6753138,7760651,7041436,8875288,5.41%,3.04%,7.02%,4.61%
7,8415220,7079667,8297332,7563525,9664496,7.29%,4.88%,7.49%,5.07%
8,9091652,7476779,8992966,8043539,10369703,8.05%,5.62%,7.85%,5.43%
9,9791618,7871374,9674566,8564811,11201090,7.66%,5.24%,7.43%,5.02%
10,10558412,8296961,10389972,9011985,12126866,7.83%,5.40%,7.61%,5.19%
11,11397168,8746161,11358693,9927621,12960828,7.97%,5.44%,7.79%,5.27%
12,12228937,9164510,12187346,10518420,13994948,7.33%,4.82%,7.12%,4.61%
13,13212328,9669410,13253878,11319920,15090944,8.07%,5.54%,7.84%,5.31%
14,14183050,10136552,14142060,11926029,16574596,7.39%,4.87%,7.19%,4.67%
15,15046702,10501758,15015652,12741915,17261314,6.05%,3.56%,7.45%,4.93%
16,15830777,10790038,15651543,13456001,18199137,5.17%,2.70%,6.51%,4.01%
17,16742465,11143976,16681855,13967116,19282053,5.74%,3.26%,7.04%,4.53%
18,17707623,11510153,17756067,14651550,20614113,5.71%,3.23%,7.01%,4.50%
19,18690274,11864147,18635247,15171608,21598430,5.43%,2.96%,7.02%,4.51%
20,19602125,12151337,19346754,15975093,23690575,4.82%,2.36%,6.35%,3.86%
21,20719185,12567320,20228212,16787366,25524012,5.63%,3.36%,7.18%,4.88%
22,21814938,12947118,21259297,17382509,27067223,5.18%,2.92%,6.73%,4.44%
23,23129121,13431588,22247924,18351503,28413685,5.92%,3.64%,7.42%,5.10%
24,24539286,13943739,23568619,19142339,30646435,6.02%,3.74%,7.53%,5.22%
25,26033057,14474101,24983049,20073636,33148151,5.97%,3.69%,7.39%,5.08%
26,27704294,15071713,26784589,21003930,35113734,6.26%,3.97%,7.58%,5.26%
27,29320691,15607698,28613057,22680645,37564138,5.81%,3.53%,7.16%,4.86%
28,31116231,16206929,30304349,23830557,41536461,6.05%,3.77%,7.26%,4.95%
29,32857740,16745593,31603548,25099242,43419932,5.49%,3.22%,6.63%,4.34%
30,34597304,17252586,33537893,25275510,45061229,5.18%,2.92%,6.97%,4.67%
31,36249515,17687370,35606482,26676818,47998065,4.75%,2.49%,7.42%,5.11%
32,37726318,18011695,36096508,27917326,50102247,3.93%,1.69%,6.53%,4.24%
33,39393877,18402973,37337961,29309852,53268250,4.36%,2.12%,7.02%,4.72%
34,41153609,18811191,39254613,30566889,56565185,4.61%,2.35%,7.25%,4.94%
35,43054810,19256580,40394279,31789235,58977622,4.35%,2.10%,7.04%,4.73%
36,44828005,19618057,42139001,32248175,61656579,4.21%,1.97%,6.89%,4.59%
37,46595966,19952807,44423733,33329907,63773801,3.96%,1.73%,6.64%,4.35%
38,48724444,20415108,45519284,34293264,67955015,4.62%,2.37%,7.25%,4.94%
39,50930049,20879879,47772943,35307289,69992059,4.49%,2.24%,7.17%,4.87%
40,53188265,21336286,49518293,36376057,74135398,4.37%,2.12%,7.16%,4.85%
41,55363954,21730974,52386480,37823294,76396942,3.92%,1.69%,6.58%,4.29%
42,57900988,22237562,54506625,38975156,80884696,4.53%,2.28%,7.20%,4.90%
43,60716715,22817002,57265705,39791554,84697461,4.55%,2.30%,7.18%,4.87%
44,63581445,23379208,60231599,41928379,90678526,4.72%,2.46%,7.29%,4.98%
45,66411501,23894162,64123805,43319421,94140983,4.62%,2.37%,7.29%,4.98%
46,69475884,24458606,67619566,46959131,96787385,4.66%,2.41%,7.16%,4.85%
47,72584430,25002889,70903971,48373990,101721750,4.42%,2.17%,6.95%,4.64%
48,75960303,25602508,73215157,50635884,106868488,4.47%,2.23%,6.93%,4.63%
49,79718354,26290767,77492311,53336711,111866933,5.07%,2.81%,7.54%,5.22%
