Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5967755,6146787,5950315,5713802,6222319,3.83%,0.81%,6.49%,3.39%
2,6213185,6591568,6194432,5815354,6683522,7.22%,4.10%,7.16%,4.04%
3,6535288,7092753,6532992,6048592,7053843,7.61%,5.19%,7.51%,5.10%
4,6835689,7589410,6815435,6325754,7374517,7.01%,4.61%,6.93%,4.53%
5,7136368,8105477,7133088,6447260,7774120,6.77%,4.37%,6.69%,4.29%
6,7471504,8681305,7410122,6703016,8426482,7.10%,4.69%,7.02%,4.61%
7,7856334,9338402,7743606,7036288,9068899,7.57%,5.16%,7.49%,5.07%
8,8289513,10079924,8201319,7304664,9488574,7.95%,5.52%,7.85%,5.43%
9,8715966,10842251,8601295,7603215,9969804,7.53%,5.11%,7.43%,5.02%
10,9176803,11678067,9038898,7818275,10574346,7.70%,5.28%,7.61%,5.19%
11,9665217,12594795,9616483,8375205,10978109,7.88%,5.35%,7.79%,5.27%
12,10115513,13497936,10100880,8662452,11526795,7.21%,4.69%,7.12%,4.61%
13,10660426,14566458,10710611,9102097,12239970,7.95%,5.42%,7.84%,5.31%
14,11163199,15619531,11161250,9379741,12995746,7.27%,4.76%,7.19%,4.67%
15,11725662,16800286,11692588,9825709,13470794,7.53%,5.01%,7.45%,4.93%
16,12208806,17912346,12058432,10324483,14019567,6.59%,4.09%,6.51%,4.01%
17,12774827,19192620,12752859,10690272,14708247,7.15%,4.64%,7.04%,4.53%
18,13363824,20559375,13351930,11075624,15631970,7.10%,4.59%,7.01%,4.50%
19,13940577,21961394,13894680,11351101,16108917,6.70%,4.20%,7.02%,4.51%
20,14499658,23390357,14347982,11849857,17479310,6.46%,3.97%,6.35%,3.86%
21,15228712,25106904,14997433,12459549,18713242,7.31%,5.00%,7.18%,4.88%
22,15929739,26840434,15681592,12825908,19660560,6.84%,4.54%,6.73%,4.44%
23,16771173,28879868,16226508,13452055,20437519,7.54%,5.23%,7.42%,5.10%
24,17666269,31090487,17086787,14084855,21946784,7.64%,5.32%,7.53%,5.22%
25,18595128,33445118,18197199,14604380,23415564,7.51%,5.20%,7.39%,5.08%
26,19614304,36054325,19060844,15312154,24701517,7.72%,5.40%,7.58%,5.26%
27,20576829,38655724,20298454,16478278,25856010,7.26%,4.95%,7.16%,4.86%
28,21624310,41517243,21200266,17174323,27775764,7.39%,5.08%,7.26%,4.95%
29,22594467,44334239,21866242,17915882,28888233,6.76%,4.46%,6.63%,4.34%
30,23320915,46766367,22870487,17874332,29592009,5.47%,3.20%,6.97%,4.67%
31,24530556,50274335,24226944,18787198,31330118,7.52%,5.20%,7.42%,5.11%
32,25614952,53651688,24815621,19843818,32982883,6.63%,4.34%,6.53%,4.24%
33,26843116,57461064,25899468,20983303,34241454,7.10%,4.80%,7.02%,4.72%
34,28148064,61580067,27198004,22247023,36966221,7.33%,5.02%,7.25%,4.94%
35,29541902,66051240,28149304,22642984,38817412,7.09%,4.79%,7.04%,4.73%
36,30873931,70548105,29201120,23845924,40477752,6.95%,4.65%,6.89%,4.59%
37,32206562,75212267,31076819,24528496,42069793,6.68%,4.38%,6.64%,4.35%
38,33786988,80638917,32527220,25457438,44471293,7.31%,5.00%,7.25%,4.94%
39,35428636,86417270,33713329,26567420,45529916,7.19%,4.89%,7.17%,4.87%
40,37138472,92580822,35552336,27661746,47594594,7.14%,4.84%,7.16%,4.85%
41,38765568,98762950,36742480,28407782,51061416,6.59%,4.29%,6.58%,4.29%
42,40656916,105860325,39059674,29814156,54711606,7.20%,4.89%,7.20%,4.90%
43,42728748,113702461,41714615,30659010,58310028,7.18%,4.87%,7.18%,4.87%
44,44820437,121892412,43879952,31829424,60601627,7.27%,4.96%,7.29%,4.98%
45,46949447,130491422,46819338,33920545,63823506,7.23%,4.92%,7.29%,4.98%
46,49175158,139684475,48845368,36226910,66195432,7.11%,4.81%,7.16%,4.85%
47,51415841,149262331,50979995,37865428,70623858,6.86%,4.56%,6.95%,4.64%
48,53779229,159558057,52666094,39188589,73377680,6.82%,4.52%,6.93%,4.63%
49,56437499,171128690,55638876,41839501,75712377,7.42%,5.10%,7.54%,5.22%
