Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,2959357,3048138,2966997,2666915,3309650,-4.75%,-7.52%,4.11%,1.08%
2,2773485,2942390,2773885,2396667,3184604,-3.50%,-6.31%,5.89%,2.81%
3,2643868,2869392,2608361,2193115,3095997,-2.47%,-4.66%,7.28%,4.86%
4,2483076,2756866,2473513,2009772,3005093,-4.02%,-6.18%,5.04%,2.68%
5,2325713,2641542,2265395,1785248,2882600,-4.40%,-6.55%,5.06%,2.70%
6,2186812,2540906,2115301,1590741,2774826,-4.14%,-6.29%,5.72%,3.35%
7,2053857,2441309,1985337,1484188,2694978,-4.17%,-6.32%,6.14%,3.75%
8,1959445,2382656,1931113,1335639,2589100,-2.69%,-4.87%,7.96%,5.54%
9,1821399,2265734,1766428,1200477,2467283,-5.30%,-7.43%,5.94%,3.56%
10,1718970,2187499,1639743,1088151,2474625,-4.60%,-6.74%,7.44%,5.02%
11,1588404,2069857,1520643,992926,2487389,-6.27%,-8.46%,6.79%,4.29%
12,1432136,1911014,1378019,772606,2242019,-9.08%,-11.21%,5.36%,2.89%
13,1288992,1761285,1255731,625989,1980769,-9.88%,-11.99%,6.78%,4.28%
14,1150040,1609135,1123585,440481,1840595,-13.35%,-15.38%,6.68%,4.18%
15,1036261,1484734,1005087,300637,1768334,nan%,nan%,5.39%,2.92%
16,934217,1370652,857051,211051,1652698,nan%,nan%,5.53%,3.05%
17,829464,1246168,795200,65632,1539508,nan%,nan%,5.91%,3.42%
18,727227,1118792,652384,0,1432962,nan%,nan%,6.15%,3.66%
19,615255,969246,502279,0,1357802,nan%,nan%,4.88%,2.42%
20,511402,824977,378526,0,1204034,nan%,nan%,5.18%,2.71%
21,415067,684302,238239,0,1003940,nan%,nan%,6.60%,4.31%
22,314091,529221,45362,0,898780,nan%,nan%,4.73%,2.48%
