Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,0,0,5813,0,0,0,0,,,,
2,0,0,6208,0,0,0,0,,,,
3,0,0,6440,0,0,0,0,,,,
4,0,0,6573,0,0,0,0,,,,
5,0,0,6665,0,0,0,0,,,,
6,0,0,6716,0,0,0,0,,,,
7,0,0,6769,0,0,0,0,,,,
8,0,0,6797,0,0,0,0,,,,
9,0,0,6813,0,0,0,0,,,,
10,0,0,6827,0,0,0,0,,,,
11,0,0,6832,0,0,0,0,,,,
12,0,0,6838,0,0,0,0,,,,
13,0,0,6839,0,0,0,0,,,,
14,0,0,6840,0,0,0,0,,,,
15,0,0,6840,0,0,0,0,,,,
16,0,0,6840,0,0,0,0,,,,
17,0,0,6840,0,0,0,0,,,,
18,0,0,6840,0,0,0,0,,,,
19,0,0,2280,0,0,0,0,,,,
20,0,0,3040,0,0,0,0,,,,
21,0,0,3040,0,0,0,0,,,,
22,0,0,3040,0,0,0,0,,,,
23,0,0,3040,0,0,0,0,,,,
24,0,0,3040,0,0,0,0,,,,
25,0,0,3040,0,0,0,0,,,,
26,0,0,3040,0,0,0,0,,,,
27,0,0,3040,0,0,0,0,,,,
28,0,0,3040,0,0,0,0,,,,
29,0,0,3040,0,0,0,0,,,,
30,0,0,32886,0,0,0,785433,,,,
31,0,0,35588,0,0,0,856527,,,,
32,0,0,38169,0,0,0,924455,,,,
33,0,0,41318,0,0,0,1007332,,,,
34,0,0,44853,0,0,0,1100348,,,,
35,0,0,48843,0,0,0,1205358,,,,
36,0,0,52848,0,0,0,1310740,,,,
37,0,0,57497,0,0,0,1433084,,,,
38,0,0,62686,0,0,0,1569631,,,,
39,0,0,68895,0,0,0,1733029,,,,
40,0,0,75523,0,0,0,1907449,,,,
41,0,0,82642,0,0,0,2094807,,,,
42,0,0,91123,0,0,0,2317996,,,,
43,0,0,100310,0,0,0,2559746,,,,
44,0,0,111342,0,0,0,2850078,,,,
45,0,0,123032,0,0,0,3157702,,,,
46,0,0,136370,0,0,0,3508703,,,,
47,0,0,151550,0,0,0,3908183,,,,
48,0,0,169240,0,0,0,4373702,,,,
49,0,0,188608,0,0,0,4883384,,,,
