Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3064354,3156284,3056159,2935936,3208090,1.82%,-1.15%,6.82%,3.70%
2,3036021,3220915,3019600,2852450,3243156,2.04%,-0.93%,7.07%,3.95%
3,3021493,3279228,2988913,2781687,3291095,1.78%,-0.50%,6.80%,4.40%
4,3033698,3368201,3025188,2752553,3332850,2.69%,0.38%,7.71%,5.29%
5,3039648,3452429,3029710,2708045,3388610,2.47%,0.16%,7.42%,5.01%
6,3113160,3617249,3074724,2795289,3413647,4.91%,2.56%,7.42%,5.00%
7,3274008,3891638,3249743,2940432,3624859,7.62%,5.20%,7.48%,5.07%
8,3447825,4192505,3405707,3056787,3871497,7.70%,5.27%,7.47%,5.05%
9,3615220,4497163,3570600,3180995,4126851,7.23%,4.82%,7.00%,4.59%
10,3779307,4809409,3737812,3278255,4285253,6.90%,4.50%,6.68%,4.28%
11,3950317,5147679,3897354,3402893,4584347,7.02%,4.51%,6.78%,4.28%
12,4153214,5541964,4100006,3552672,4858787,7.66%,5.13%,7.44%,4.92%
13,4363549,5962375,4325773,3638070,5132085,7.54%,5.02%,7.33%,4.82%
14,4576402,6403295,4529989,3806688,5384439,7.40%,4.88%,7.18%,4.67%
15,4613833,6610605,4522282,3845208,5454785,3.17%,0.75%,6.69%,4.19%
16,4574313,6711276,4536624,3696792,5526982,1.42%,-0.96%,5.09%,2.62%
17,4685073,7038751,4609680,3778381,5772890,4.76%,2.31%,8.25%,5.71%
18,4943074,7604599,4827197,3926604,6103518,7.92%,5.39%,11.14%,8.53%
19,5532198,8715190,5348500,4300035,6927898,14.44%,11.76%,18.35%,15.58%
20,5579263,9000277,5405981,4289845,7027259,3.13%,0.71%,7.10%,4.59%
21,5630238,9282324,5487871,4208980,7188764,2.98%,0.76%,6.90%,4.60%
22,5704113,9611009,5602639,4194011,7349838,3.33%,1.10%,7.24%,4.93%
23,5773053,9941165,5618199,4159077,7488279,3.29%,1.07%,7.15%,4.84%
24,6118619,10768027,5942566,4278361,8104245,8.08%,5.75%,11.55%,9.15%
25,6226032,11198116,6015851,4314316,8323196,3.87%,1.63%,7.48%,5.16%
26,5989556,11009793,5803309,4085848,8042040,-1.93%,-4.04%,1.92%,-0.27%
27,6397983,12019280,6114959,4290999,8576901,8.79%,6.45%,12.23%,9.82%
28,6523235,12524179,6228025,4230685,8897427,3.89%,1.65%,7.35%,5.04%
29,6574327,12899963,6225038,4049976,9061910,2.61%,0.40%,6.94%,4.64%
30,6571557,13178208,6267052,4061943,9432061,1.84%,-0.35%,7.35%,5.04%
31,6578695,13482756,6189616,3970679,9424602,2.02%,-0.17%,7.50%,5.18%
32,6549770,13718793,6197992,4002695,9355948,1.54%,-0.64%,6.97%,4.67%
33,6547082,14014852,6298952,3806723,9491867,1.88%,-0.31%,7.33%,5.02%
34,6545444,14319595,6277878,3829193,9653526,2.02%,-0.17%,7.43%,5.12%
35,6546469,14636918,6252096,3839160,9697217,1.95%,-0.25%,7.34%,5.02%
36,6555320,14979156,6099200,3677921,9775298,1.91%,-0.28%,7.19%,4.88%
37,6562959,15326537,6016370,3657212,10106308,1.99%,-0.21%,7.25%,4.94%
38,6577300,15697948,6024433,3632181,10486675,2.05%,-0.15%,7.08%,4.78%
39,6573166,16033219,5927225,3571487,10760008,1.98%,-0.22%,7.00%,4.70%
40,6606245,16468410,6057685,3536372,10851661,2.52%,0.32%,7.39%,5.08%
41,6643683,16926096,6117881,3553954,11130451,2.57%,0.36%,7.19%,4.88%
42,6681200,17396157,5964705,3434688,11257944,2.27%,0.07%,6.93%,4.63%
43,6747490,17955271,6094383,3387371,11571065,3.03%,0.81%,7.52%,5.21%
44,6829863,18574307,6063348,3407849,11399639,3.17%,0.95%,7.40%,5.09%
45,6908571,19201702,6260537,3348553,11757748,3.10%,0.88%,7.13%,4.82%
46,7006196,19901449,6291783,3427160,11532538,3.64%,1.41%,7.30%,4.99%
47,7148803,20753273,6514151,3420472,11881955,4.14%,1.90%,7.63%,5.32%
48,7282359,21606095,6659273,3422607,12058226,3.90%,1.66%,7.25%,4.94%
49,7437085,22550586,6924506,3703091,12337668,4.12%,1.88%,7.22%,4.91%
