Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6034608,6215646,6017042,5780663,6289362,4.99%,1.94%,6.49%,3.39%
2,6193602,6570792,6175077,5799654,6658736,5.70%,2.62%,7.16%,4.04%
3,6423975,6971944,6419655,5946075,6933221,6.11%,3.72%,7.51%,5.10%
4,6630009,7361051,6608350,6124900,7156220,5.59%,3.21%,6.93%,4.53%
5,6832706,7760578,6822818,6158839,7463564,5.39%,3.02%,6.69%,4.29%
6,7064906,8208870,7016248,6317127,7986858,5.76%,3.39%,7.02%,4.61%
7,7340669,8725459,7238353,6543422,8499534,6.29%,3.90%,7.49%,5.07%
8,7656823,9310582,7587925,6715629,8840111,6.70%,4.30%,7.85%,5.43%
9,7962970,9905558,7865260,6906443,9193983,6.34%,3.95%,7.43%,5.02%
10,8306832,10570972,8186060,7032157,9623532,6.72%,4.32%,7.61%,5.19%
11,8703964,11342180,8649052,7552438,9912181,7.36%,4.84%,7.79%,5.27%
12,9094558,12135594,9091280,7795397,10340621,7.05%,4.55%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.90%,5.37%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10430717,14944916,10411542,8770698,11958991,6.41%,3.91%,7.45%,4.93%
16,10752811,15776159,10612973,9036684,12364573,5.52%,3.04%,6.51%,4.01%
17,11140447,16737162,11113537,9269577,12826764,6.07%,3.58%,7.04%,4.53%
18,11545009,17761247,11520115,9545234,13555903,6.08%,3.59%,7.01%,4.50%
19,11946432,18819902,11889201,9639333,13874153,5.82%,3.34%,7.02%,4.51%
20,12281933,19812799,12191247,9917848,14854989,5.20%,2.73%,6.35%,3.86%
21,12756365,21030855,12609481,10380396,15772100,6.08%,3.80%,7.18%,4.88%
22,13201722,22243927,13014083,10404605,16510007,5.67%,3.39%,6.73%,4.44%
23,13754271,23684780,13319883,10906715,16928506,6.38%,4.09%,7.42%,5.10%
24,14346087,25247369,13888649,11311379,18022442,6.54%,4.25%,7.53%,5.22%
25,14957385,26902290,14664849,11510335,19148389,6.44%,4.15%,7.39%,5.08%
26,15632981,28735997,15162875,11799159,19803703,6.68%,4.38%,7.58%,5.26%
27,16261131,30548235,15937497,12639679,20800826,6.30%,4.01%,7.16%,4.86%
28,16947757,32538571,16564592,12980209,22452589,6.45%,4.16%,7.26%,4.95%
29,17571017,34477365,16950372,13551168,23179880,5.88%,3.60%,6.63%,4.34%
30,18183909,36464923,17786119,13287443,23533955,5.68%,3.40%,6.97%,4.67%
31,18864858,38662728,18665614,14167140,25150175,5.98%,3.69%,7.42%,5.11%
32,19437333,40712382,18696821,14601629,25493427,5.13%,2.87%,6.53%,4.24%
33,20103611,43034307,19392072,15160941,26853750,5.63%,3.36%,7.02%,4.72%
34,20807206,45520329,20043048,15725717,28382962,5.89%,3.61%,7.25%,4.94%
35,21571449,48230510,20322438,15717020,29856036,5.69%,3.41%,7.04%,4.73%
36,22262589,50870862,20882973,16180304,30252852,5.56%,3.28%,6.89%,4.59%
37,22941241,53574881,21823403,16521149,31112295,5.32%,3.06%,6.64%,4.35%
38,23771077,56734088,22390020,16700099,32976253,5.95%,3.67%,7.25%,4.94%
39,24639890,60101440,22973983,17130033,33263551,5.90%,3.62%,7.17%,4.87%
40,25533044,63650176,24272625,17202810,34961296,5.87%,3.59%,7.16%,4.85%
41,26355859,67146763,25013567,17751728,36666739,5.33%,3.06%,6.58%,4.29%
42,27334497,71172118,25735037,18299489,38142124,5.96%,3.68%,7.20%,4.90%
43,28432234,75659015,26937644,18723555,40160977,5.98%,3.70%,7.18%,4.87%
44,29521102,80284769,28233280,19520549,41469650,6.13%,3.85%,7.29%,4.98%
45,30601607,85054190,29735100,20465984,43059615,6.11%,3.82%,7.29%,4.98%
46,31718567,90098162,30894171,21733119,45116359,5.96%,3.68%,7.16%,4.85%
47,32828692,95303062,32314797,22441889,46598154,5.74%,3.47%,6.95%,4.64%
48,34031198,100967456,33269442,23407266,48732968,5.78%,3.50%,6.93%,4.63%
49,35367723,107241323,34328076,24019275,49260592,6.36%,4.07%,7.54%,5.22%
