Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3048138,2959357,3056007,2746923,3408939,-4.75%,-7.52%,4.11%,1.08%
2,2942390,2773485,2942815,2542624,3378547,-3.50%,-6.31%,5.89%,2.81%
3,2869392,2643868,2830856,2380189,3360087,-2.47%,-4.66%,7.28%,4.86%
4,2756866,2483076,2746249,2231375,3336442,-4.02%,-6.18%,5.04%,2.68%
5,2641542,2325713,2573033,2027682,3274053,-4.40%,-6.55%,5.06%,2.70%
6,2540906,2186812,2457814,1848317,3224131,-4.14%,-6.29%,5.72%,3.35%
7,2441309,2053857,2359864,1764175,3203376,-4.17%,-6.32%,6.14%,3.75%
8,2382656,1959445,2348205,1624117,3148307,-2.69%,-4.87%,7.96%,5.54%
9,2270942,1825585,2204161,1500144,3069184,-5.04%,-7.18%,5.94%,3.56%
10,2203176,1731290,2107888,1405543,3149418,-4.02%,-6.18%,7.44%,5.02%
11,2103447,1614181,2026692,1338459,3242569,-5.16%,-7.39%,6.79%,4.29%
12,1970430,1476664,1920997,1104000,2994982,-7.22%,-9.39%,5.36%,2.89%
13,1856230,1358477,1853022,972554,2712893,-6.68%,-8.87%,6.78%,4.28%
14,1748087,1249349,1763010,808475,2608483,-7.91%,-10.06%,6.68%,4.18%
15,1619872,1130580,1629103,627604,2566567,-11.63%,-13.71%,5.39%,2.92%
16,1502372,1023996,1405294,514370,2457676,nan%,nan%,5.53%,3.05%
17,1371912,913160,1337600,271170,2326518,nan%,nan%,5.91%,3.42%
18,1242931,807919,1157928,61500,2295379,nan%,nan%,6.15%,3.66%
19,1085928,689321,976370,0,2222687,nan%,nan%,4.88%,2.42%
20,918183,569180,766150,0,2023831,nan%,nan%,5.18%,2.71%
21,763534,463125,475651,0,1739707,nan%,nan%,6.60%,4.31%
22,583958,346578,194165,0,1567942,nan%,nan%,4.73%,2.48%
