Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,5970422,6149534,5952982,5716469,6224986,3.88%,0.85%,6.49%,3.39%
2,6063547,6432817,6043153,5671465,6524587,4.59%,1.54%,7.16%,4.04%
3,6224753,6755729,6218249,5750793,6728830,5.02%,2.66%,7.51%,5.10%
4,6360137,7061422,6337388,5860928,6874536,4.53%,2.18%,6.93%,4.53%
5,6490211,7371573,6472663,5830727,7111845,4.35%,2.00%,6.69%,4.29%
6,6712353,7799231,6656081,6044256,7544743,5.84%,3.46%,7.02%,4.61%
7,7056347,8387500,6968282,6342374,8111681,7.56%,5.14%,7.49%,5.07%
8,7446078,9054320,7373034,6554656,8510803,7.96%,5.53%,7.85%,5.43%
9,7829895,9740020,7728211,6853712,8937654,7.54%,5.12%,7.43%,5.02%
10,8244995,10492282,8122071,7027136,9468665,7.72%,5.29%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.89%,5.36%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10375717,14866113,10356542,8715698,11903991,5.84%,3.36%,7.45%,4.93%
16,10640595,15611520,10501015,8925381,12250430,4.96%,2.50%,6.51%,4.01%
17,10968168,16478335,10942970,9099781,12652719,5.52%,3.05%,7.04%,4.53%
18,11309988,17399682,11291262,9311945,13306710,5.54%,3.07%,7.01%,4.50%
19,11623722,18311519,11575354,9313517,13547632,5.08%,2.62%,7.02%,4.51%
20,11869663,19147738,11791919,9526784,14421016,4.47%,2.02%,6.35%,3.86%
21,12246644,20190500,12106037,9891230,15229437,5.36%,3.09%,7.18%,4.88%
22,12591777,21216215,12420893,9804181,15865682,4.95%,2.69%,6.73%,4.44%
23,13035231,22446597,12625049,10231960,16195672,5.68%,3.40%,7.42%,5.10%
24,13511080,23777858,13100808,10549516,17086501,5.84%,3.57%,7.53%,5.22%
25,14001250,25182590,13699209,10650166,18122567,5.76%,3.49%,7.39%,5.08%
26,14547579,26740849,14105213,10838102,18556514,6.01%,3.73%,7.58%,5.26%
27,15043013,28259873,14704052,11377174,19508957,5.65%,3.37%,7.16%,4.86%
28,15588549,29928982,15210515,11709400,20880904,5.81%,3.53%,7.26%,4.95%
29,16071120,31534307,15480410,12081145,21452094,5.25%,2.98%,6.63%,4.34%
30,16523901,33136043,16133499,11768760,21703981,4.94%,2.68%,6.97%,4.67%
31,16891389,34618186,16610722,12315449,22981898,4.41%,2.16%,7.42%,5.11%
32,17146541,35914214,16489373,12524436,22908571,3.55%,1.32%,6.53%,4.24%
33,17463748,37383349,16775395,12834655,23965286,4.00%,1.76%,7.02%,4.72%
34,17791903,38923693,16959541,13154421,24776271,4.22%,1.97%,7.25%,4.94%
35,18154641,40591042,16973174,12910621,25636352,3.98%,1.74%,7.04%,4.73%
36,18432152,42118167,17168006,12924762,25550761,3.82%,1.58%,6.89%,4.59%
37,18680175,43623978,17615239,12937544,25835638,3.55%,1.32%,6.64%,4.35%
38,19030797,45420529,17852951,12844198,27051068,4.14%,1.90%,7.25%,4.94%
39,19386836,47288228,18076112,13120024,27253294,4.04%,1.80%,7.17%,4.87%
40,19737738,49203319,18790774,12750766,28071796,3.96%,1.72%,7.16%,4.85%
41,20014322,50990444,18989553,12960551,28835000,3.42%,1.19%,6.58%,4.29%
42,20382163,53069998,19009695,13128009,29300230,4.00%,1.76%,7.20%,4.90%
43,20817479,55395925,19441310,12849929,29941270,3.99%,1.75%,7.18%,4.87%
44,21213221,57690886,20087615,13335328,30670864,4.11%,1.87%,7.29%,4.98%
45,21573260,59960780,20763684,13794077,30486377,4.06%,1.82%,7.29%,4.98%
46,21950282,62350865,21230234,14211537,31746314,3.95%,1.72%,7.16%,4.85%
47,22301075,64740950,21624175,14399997,32305515,3.72%,1.49%,6.95%,4.64%
48,22693847,67330570,21851989,14924223,32750261,3.75%,1.52%,6.93%,4.63%
49,23150881,70197653,22141513,14879303,33169375,4.34%,2.09%,7.54%,5.22%
