Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,7377,2763,0,0,0,0,0,,,,
2,7377,2970,0,0,0,0,0,,,,
3,7377,3109,0,0,0,0,0,,,,
4,7377,3221,0,0,0,0,0,,,,
5,7377,3299,0,0,0,0,0,,,,
6,7377,3351,0,0,0,0,0,,,,
7,7377,3399,0,0,0,0,0,,,,
8,7377,3429,0,0,0,0,0,,,,
9,7377,3444,0,0,0,0,0,,,,
10,63164,26143,12261,0,0,0,308170,,,,
11,70266,28824,13354,0,0,0,336946,,,,
12,77498,31397,14403,0,0,0,364540,,,,
13,87625,34698,15751,0,0,0,400017,,,,
14,98938,38139,17157,0,0,0,437016,,,,
15,112857,42096,18774,0,0,0,479566,,,,
16,126488,45839,20302,0,0,0,519776,,,,
17,143845,50558,22215,0,0,0,570124,,,,
18,162102,55510,24198,0,0,0,622303,,,,
19,184951,61837,26647,0,0,0,686747,,,,
20,207655,68251,29044,0,0,0,749830,,,,
21,236081,76478,32011,0,0,0,827911,,,,
22,267284,85761,35240,0,0,0,912871,,,,
23,303317,96611,38946,0,0,0,1010398,,,,
24,347070,110043,43444,0,0,0,1128765,,,,
25,393244,124367,48186,0,0,0,1253559,,,,
26,447832,141674,53792,0,0,0,1401094,,,,
27,508370,161180,60009,0,0,0,1564710,,,,
28,579649,184568,67330,0,0,0,1757355,,,,
29,650047,207888,74560,0,0,0,1947621,,,,
